"Age";"Year";"fs1";"fs2";"fs3";"fs4";"fs5";"fs6";"Sex"
0;2007;1051.95;3103.475;18909.625;2268.5;22989.35;109564.625;"M"
1;2007;285.3;841.675;5128.35;111.45;27153.45;129410.2;"M"
2;2007;46.975;138.575;844.375;0;4589.85;21874.675;"M"
3;2007;50.975;150.375;916.175;0;630.45;3004.675;"M"
0;2007;2103.9;6206.95;37819.25;4537;45978.7;219129.25;"F"
1;2007;570.6;1683.35;10256.7;222.9;54306.9;258820.4;"F"
2;2007;93.95;277.15;1688.75;0;9179.7;43749.35;"F"
3;2007;101.95;300.75;1832.35;0;1260.9;6009.35;"F"
0;2008;1051.95;3103.475;18909.625;2268.5;22989.35;109564.625;"M"
1;2008;285.3;841.675;5128.35;111.45;27153.45;129410.2;"M"
2;2008;46.975;138.575;844.375;0;4589.85;21874.675;"M"
3;2008;50.975;150.375;916.175;0;630.45;3004.675;"M"
0;2008;2103.9;6206.95;37819.25;4537;45978.7;219129.25;"F"
1;2008;570.6;1683.35;10256.7;222.9;54306.9;258820.4;"F"
2;2008;93.95;277.15;1688.75;0;9179.7;43749.35;"F"
3;2008;101.95;300.75;1832.35;0;1260.9;6009.35;"F"
0;2009;568.675;4249.375;10547.8;1448.925;29695.875;104206.475;"M"
1;2009;422.25;3155.225;7831.9;796.8;35074.75;123081.525;"M"
2;2009;58.05;433.7;1076.55;180.7;5928.8;20804.9;"M"
3;2009;4.725;35.35;87.775;16.1;814.375;2857.725;"M"
0;2009;1137.35;8498.75;21095.6;2897.85;59391.75;208412.95;"F"
1;2009;844.5;6310.45;15663.8;1593.6;70149.5;246163.05;"F"
2;2009;116.1;867.4;2153.1;361.4;11857.6;41609.8;"F"
3;2009;9.45;70.7;175.55;32.2;1628.75;5715.45;"F"
0;2010;1546.875;11157.75;18787.25;1435.95;30491.9;102142.575;"M"
1;2010;692.125;4992.3;8405.95;961.3;36014.95;120643.775;"M"
2;2010;101.475;731.925;1232.4;398.2;6087.725;20392.85;"M"
3;2010;23.375;168.575;283.825;64.775;836.2;2801.125;"M"
0;2010;3093.75;22315.5;37574.5;2871.9;60983.8;204285.15;"F"
1;2010;1384.25;9984.6;16811.9;1922.6;72029.9;241287.55;"F"
2;2010;202.95;1463.85;2464.8;796.4;12175.45;40785.7;"F"
3;2010;46.75;337.15;567.65;129.55;1672.4;5602.25;"F"
0;2011;2516.625;16118.5;23890.35;3600.25;27847.325;78169.075;"M"
1;2011;1160.775;7434.575;11019.3;228.175;32891.35;92327.925;"M"
2;2011;87.575;560.9;831.35;152.125;5559.75;15606.525;"M"
3;2011;4.5;28.8;42.7;0;763.675;2143.675;"M"
0;2011;5033.25;32237;47780.7;7200.5;55694.65;156338.15;"F"
1;2011;2321.55;14869.15;22038.6;456.35;65782.7;184655.85;"F"
2;2011;175.15;1121.8;1662.7;304.25;11119.5;31213.05;"F"
3;2011;9;57.6;85.4;0;1527.35;4287.35;"F"
0;2012;9420.15;31957.925;44592.2;1573.025;23705.475;78808.25;"M"
1;2012;4075.375;13825.775;19291.675;881.2;27999.275;93082.875;"M"
2;2012;183;620.8;866.225;12.8;4732.825;15734.125;"M"
3;2012;84.25;285.85;398.85;0;650.1;2161.2;"M"
0;2012;18840.3;63915.85;89184.4;3146.05;47410.95;157616.5;"F"
1;2012;8150.75;27651.55;38583.35;1762.4;55998.55;186165.75;"F"
2;2012;366;1241.6;1732.45;25.6;9465.65;31468.25;"F"
3;2012;168.5;571.7;797.7;0;1300.2;4322.4;"F"
0;2013;15192.85;34663.675;58334.75;314.6;17745.35;56548.05;"M"
1;2013;3941.55;8992.95;15134.025;176.25;20959.575;66790.675;"M"
2;2013;127.775;291.5;490.575;2.55;3542.875;11289.875;"M"
3;2013;3.7;8.475;14.25;0;486.65;1550.75;"M"
0;2013;30385.7;69327.35;116669.5;629.2;35490.7;113096.1;"F"
1;2013;7883.1;17985.9;30268.05;352.5;41919.15;133581.35;"F"
2;2013;255.55;583;981.15;5.1;7085.75;22579.75;"F"
3;2013;7.4;16.95;28.5;0;973.3;3101.5;"F"
0;2014;15192.85;34663.675;58334.75;314.6;17745.35;56548.05;"M"
1;2014;3941.55;8992.95;15134.025;176.25;20959.575;66790.675;"M"
2;2014;127.775;291.5;490.575;2.55;3542.875;11289.875;"M"
3;2014;3.7;8.475;14.25;0;486.65;1550.75;"M"
0;2014;30385.7;69327.35;116669.5;629.2;35490.7;113096.1;"F"
1;2014;7883.1;17985.9;30268.05;352.5;41919.15;133581.35;"F"
2;2014;255.55;583;981.15;5.1;7085.75;22579.75;"F"
3;2014;7.4;16.95;28.5;0;973.3;3101.5;"F"
