Length;Year;fs1;fs2;fs3;fs4;fs5;fs6;fs7;fs8;Sex
0;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
1;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
2;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
3;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
4;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
5;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
6;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
7;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
8;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
9;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
10;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
11;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
12;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
13;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
14;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
15;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
16;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
17;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
18;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
19;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
20;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
21;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
22;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
23;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
24;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
25;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
26;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
27;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
28;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
29;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
30;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
31;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
32;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
33;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
34;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
35;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
36;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
37;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
38;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
39;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
40;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
41;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
42;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
43;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
44;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
45;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
46;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
47;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;M
0;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;F
1;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;F
2;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;F
3;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;F
