"year";"month";"DISCARD";"fleet_segment"
"";"seed";"132.2";"ITA_DTS_0612"
"2008";"Jan";"11.02";"ITA_DTS_0612"
"2008";"Feb";"11.02";"ITA_DTS_0612"
"2008";"Mar";"11.02";"ITA_DTS_0612"
"2008";"Apr";"11.02";"ITA_DTS_0612"
"2008";"May";"11.02";"ITA_DTS_0612"
"2008";"Jun";"11.02";"ITA_DTS_0612"
"2008";"Jul";"11.02";"ITA_DTS_0612"
"2008";"Aug";"11.02";"ITA_DTS_0612"
"2008";"Sep";"11.02";"ITA_DTS_0612"
"2008";"Oct";"11.02";"ITA_DTS_0612"
"2008";"Nov";"11.02";"ITA_DTS_0612"
"2008";"Dec";"11.02";"ITA_DTS_0612"
"2009";"Jan";"55.64";"ITA_DTS_0612"
"2009";"Feb";"55.64";"ITA_DTS_0612"
"2009";"Mar";"55.64";"ITA_DTS_0612"
"2009";"Apr";"55.64";"ITA_DTS_0612"
"2009";"May";"55.64";"ITA_DTS_0612"
"2009";"Jun";"55.64";"ITA_DTS_0612"
"2009";"Jul";"55.64";"ITA_DTS_0612"
"2009";"Aug";"55.64";"ITA_DTS_0612"
"2009";"Sep";"55.64";"ITA_DTS_0612"
"2009";"Oct";"55.64";"ITA_DTS_0612"
"2009";"Nov";"55.64";"ITA_DTS_0612"
"2009";"Dec";"55.64";"ITA_DTS_0612"
"2010";"Jan";"37.86";"ITA_DTS_0612"
"2010";"Feb";"37.86";"ITA_DTS_0612"
"2010";"Mar";"37.86";"ITA_DTS_0612"
"2010";"Apr";"37.86";"ITA_DTS_0612"
"2010";"May";"37.86";"ITA_DTS_0612"
"2010";"Jun";"37.86";"ITA_DTS_0612"
"2010";"Jul";"37.86";"ITA_DTS_0612"
"2010";"Aug";"37.86";"ITA_DTS_0612"
"2010";"Sep";"37.86";"ITA_DTS_0612"
"2010";"Oct";"37.86";"ITA_DTS_0612"
"2010";"Nov";"37.86";"ITA_DTS_0612"
"2010";"Dec";"37.86";"ITA_DTS_0612"
"2011";"Jan";"24.33";"ITA_DTS_0612"
"2011";"Feb";"24.33";"ITA_DTS_0612"
"2011";"Mar";"24.33";"ITA_DTS_0612"
"2011";"Apr";"24.33";"ITA_DTS_0612"
"2011";"May";"24.33";"ITA_DTS_0612"
"2011";"Jun";"24.33";"ITA_DTS_0612"
"2011";"Jul";"24.33";"ITA_DTS_0612"
"2011";"Aug";"24.33";"ITA_DTS_0612"
"2011";"Sep";"24.33";"ITA_DTS_0612"
"2011";"Oct";"24.33";"ITA_DTS_0612"
"2011";"Nov";"24.33";"ITA_DTS_0612"
"2011";"Dec";"24.33";"ITA_DTS_0612"
"2012";"Jan";"16.11";"ITA_DTS_0612"
"2012";"Feb";"16.11";"ITA_DTS_0612"
"2012";"Mar";"16.11";"ITA_DTS_0612"
"2012";"Apr";"16.11";"ITA_DTS_0612"
"2012";"May";"16.11";"ITA_DTS_0612"
"2012";"Jun";"16.11";"ITA_DTS_0612"
"2012";"Jul";"16.11";"ITA_DTS_0612"
"2012";"Aug";"16.11";"ITA_DTS_0612"
"2012";"Sep";"16.11";"ITA_DTS_0612"
"2012";"Oct";"16.11";"ITA_DTS_0612"
"2012";"Nov";"16.11";"ITA_DTS_0612"
"2012";"Dec";"16.11";"ITA_DTS_0612"
"2013";"Jan";"25.45";"ITA_DTS_0612"
"2013";"Feb";"25.45";"ITA_DTS_0612"
"2013";"Mar";"25.45";"ITA_DTS_0612"
"2013";"Apr";"25.45";"ITA_DTS_0612"
"2013";"May";"25.45";"ITA_DTS_0612"
"2013";"Jun";"25.45";"ITA_DTS_0612"
"2013";"Jul";"25.45";"ITA_DTS_0612"
"2013";"Aug";"25.45";"ITA_DTS_0612"
"2013";"Sep";"25.45";"ITA_DTS_0612"
"2013";"Oct";"25.45";"ITA_DTS_0612"
"2013";"Nov";"25.45";"ITA_DTS_0612"
"2013";"Dec";"25.45";"ITA_DTS_0612"
"2014";"Jan";"25.45";"ITA_DTS_0612"
"2014";"Feb";"25.45";"ITA_DTS_0612"
"2014";"Mar";"25.45";"ITA_DTS_0612"
"2014";"Apr";"25.45";"ITA_DTS_0612"
"2014";"May";"25.45";"ITA_DTS_0612"
"2014";"Jun";"25.45";"ITA_DTS_0612"
"2014";"Jul";"25.45";"ITA_DTS_0612"
