"Age";"Year";"fs1";"fs2";"Sex"
1;2007;NA;NA;"M"
2;2007;NA;NA;"M"
3;2007;NA;NA;"M"
4;2007;NA;NA;"M"
5;2007;NA;NA;"M"
6;2007;NA;NA;"M"
7;2007;NA;NA;"M"
8;2007;NA;NA;"M"
9;2007;NA;NA;"M"
10;2007;NA;NA;"M"
1;2008;NA;NA;"M"
2;2008;NA;NA;"M"
3;2008;NA;NA;"M"
4;2008;NA;NA;"M"
5;2008;NA;NA;"M"
6;2008;NA;NA;"M"
7;2008;NA;NA;"M"
8;2008;NA;NA;"M"
9;2008;NA;NA;"M"
10;2008;NA;NA;"M"
1;2009;NA;NA;"M"
2;2009;NA;NA;"M"
3;2009;NA;NA;"M"
4;2009;NA;NA;"M"
5;2009;NA;NA;"M"
6;2009;NA;NA;"M"
7;2009;NA;NA;"M"
8;2009;NA;NA;"M"
9;2009;NA;NA;"M"
10;2009;NA;NA;"M"
1;2010;NA;NA;"M"
2;2010;NA;NA;"M"
3;2010;NA;NA;"M"
4;2010;NA;NA;"M"
5;2010;NA;NA;"M"
6;2010;NA;NA;"M"
7;2010;NA;NA;"M"
8;2010;NA;NA;"M"
9;2010;NA;NA;"M"
10;2010;NA;NA;"M"
1;2011;NA;NA;"M"
2;2011;NA;NA;"M"
3;2011;NA;NA;"M"
4;2011;NA;NA;"M"
5;2011;NA;NA;"M"
6;2011;NA;NA;"M"
7;2011;NA;NA;"M"
8;2011;NA;NA;"M"
9;2011;NA;NA;"M"
10;2011;NA;NA;"M"
1;2012;NA;NA;"M"
2;2012;NA;NA;"M"
3;2012;NA;NA;"M"
4;2012;NA;NA;"M"
5;2012;NA;NA;"M"
6;2012;NA;NA;"M"
7;2012;NA;NA;"M"
8;2012;NA;NA;"M"
9;2012;NA;NA;"M"
10;2012;NA;NA;"M"
1;2013;NA;NA;"M"
2;2013;NA;NA;"M"
3;2013;NA;NA;"M"
4;2013;NA;NA;"M"
5;2013;NA;NA;"M"
6;2013;NA;NA;"M"
7;2013;NA;NA;"M"
8;2013;NA;NA;"M"
9;2013;NA;NA;"M"
10;2013;NA;NA;"M"
1;2014;NA;NA;"M"
2;2014;NA;NA;"M"
3;2014;NA;NA;"M"
4;2014;NA;NA;"M"
5;2014;NA;NA;"M"
6;2014;NA;NA;"M"
7;2014;NA;NA;"M"
8;2014;NA;NA;"M"
9;2014;NA;NA;"M"
10;2014;NA;NA;"M"
1;2007;NA;NA;"F"
2;2007;NA;NA;"F"
3;2007;NA;NA;"F"
4;2007;NA;NA;"F"
5;2007;NA;NA;"F"
6;2007;NA;NA;"F"
7;2007;NA;NA;"F"
8;2007;NA;NA;"F"
9;2007;NA;NA;"F"
10;2007;NA;NA;"F"
11;2007;NA;NA;"F"
12;2007;NA;NA;"F"
13;2007;NA;NA;"F"
14;2007;NA;NA;"F"
15;2007;NA;NA;"F"
1;2008;NA;NA;"F"
2;2008;NA;NA;"F"
3;2008;NA;NA;"F"
4;2008;NA;NA;"F"
5;2008;NA;NA;"F"
6;2008;NA;NA;"F"
7;2008;NA;NA;"F"
8;2008;NA;NA;"F"
9;2008;NA;NA;"F"
10;2008;NA;NA;"F"
11;2008;NA;NA;"F"
12;2008;NA;NA;"F"
13;2008;NA;NA;"F"
14;2008;NA;NA;"F"
15;2008;NA;NA;"F"
1;2009;NA;NA;"F"
2;2009;NA;NA;"F"
3;2009;NA;NA;"F"
4;2009;NA;NA;"F"
5;2009;NA;NA;"F"
6;2009;NA;NA;"F"
7;2009;NA;NA;"F"
8;2009;NA;NA;"F"
9;2009;NA;NA;"F"
10;2009;NA;NA;"F"
11;2009;NA;NA;"F"
12;2009;NA;NA;"F"
13;2009;NA;NA;"F"
14;2009;NA;NA;"F"
15;2009;NA;NA;"F"
1;2010;NA;NA;"F"
2;2010;NA;NA;"F"
3;2010;NA;NA;"F"
4;2010;NA;NA;"F"
5;2010;NA;NA;"F"
6;2010;NA;NA;"F"
7;2010;NA;NA;"F"
8;2010;NA;NA;"F"
9;2010;NA;NA;"F"
10;2010;NA;NA;"F"
11;2010;NA;NA;"F"
12;2010;NA;NA;"F"
13;2010;NA;NA;"F"
14;2010;NA;NA;"F"
15;2010;NA;NA;"F"
1;2011;NA;NA;"F"
2;2011;NA;NA;"F"
3;2011;NA;NA;"F"
4;2011;NA;NA;"F"
5;2011;NA;NA;"F"
6;2011;NA;NA;"F"
7;2011;NA;NA;"F"
8;2011;NA;NA;"F"
9;2011;NA;NA;"F"
10;2011;NA;NA;"F"
11;2011;NA;NA;"F"
12;2011;NA;NA;"F"
13;2011;NA;NA;"F"
14;2011;NA;NA;"F"
15;2011;NA;NA;"F"
1;2012;NA;NA;"F"
2;2012;NA;NA;"F"
3;2012;NA;NA;"F"
4;2012;NA;NA;"F"
5;2012;NA;NA;"F"
6;2012;NA;NA;"F"
7;2012;NA;NA;"F"
8;2012;NA;NA;"F"
9;2012;NA;NA;"F"
10;2012;NA;NA;"F"
11;2012;NA;NA;"F"
12;2012;NA;NA;"F"
13;2012;NA;NA;"F"
14;2012;NA;NA;"F"
15;2012;NA;NA;"F"
1;2013;NA;NA;"F"
2;2013;NA;NA;"F"
3;2013;NA;NA;"F"
4;2013;NA;NA;"F"
5;2013;NA;NA;"F"
6;2013;NA;NA;"F"
7;2013;NA;NA;"F"
8;2013;NA;NA;"F"
9;2013;NA;NA;"F"
10;2013;NA;NA;"F"
11;2013;NA;NA;"F"
12;2013;NA;NA;"F"
13;2013;NA;NA;"F"
14;2013;NA;NA;"F"
15;2013;NA;NA;"F"
1;2014;NA;NA;"F"
2;2014;NA;NA;"F"
3;2014;NA;NA;"F"
4;2014;NA;NA;"F"
5;2014;NA;NA;"F"
6;2014;NA;NA;"F"
7;2014;NA;NA;"F"
8;2014;NA;NA;"F"
9;2014;NA;NA;"F"
10;2014;NA;NA;"F"
11;2014;NA;NA;"F"
12;2014;NA;NA;"F"
13;2014;NA;NA;"F"
14;2014;NA;NA;"F"
15;2014;NA;NA;"F"
