"year";"month";"VESSELS";"DAYS";"GT";"fleet_segment"
"";"seed";32;4;23;"ITA_TM_VL_1218"
"2008";"Jan";32;4;23;"ITA_TM_VL_1218"
"2008";"Feb";32;4;23;"ITA_TM_VL_1218"
"2008";"Mar";32;7;23;"ITA_TM_VL_1218"
"2008";"Apr";32;11;23;"ITA_TM_VL_1218"
"2008";"May";32;10;23;"ITA_TM_VL_1218"
"2008";"Jun";32;6;23;"ITA_TM_VL_1218"
"2008";"Jul";32;11;23;"ITA_TM_VL_1218"
"2008";"Aug";32;0;23;"ITA_TM_VL_1218"
"2008";"Sep";32;4;23;"ITA_TM_VL_1218"
"2008";"Oct";32;5;23;"ITA_TM_VL_1218"
"2008";"Nov";32;4;23;"ITA_TM_VL_1218"
"2008";"Dec";32;3;23;"ITA_TM_VL_1218"
"2009";"Jan";34;15;24;"ITA_TM_VL_1218"
"2009";"Feb";34;18;24;"ITA_TM_VL_1218"
"2009";"Mar";34;20;24;"ITA_TM_VL_1218"
"2009";"Apr";32;15;23;"ITA_TM_VL_1218"
"2009";"May";32;18;23;"ITA_TM_VL_1218"
"2009";"Jun";32;20;23;"ITA_TM_VL_1218"
"2009";"Jul";32;18;23;"ITA_TM_VL_1218"
"2009";"Aug";33;1;26;"ITA_TM_VL_1218"
"2009";"Sep";33;15;26;"ITA_TM_VL_1218"
"2009";"Oct";33;16;26;"ITA_TM_VL_1218"
"2009";"Nov";33;18;26;"ITA_TM_VL_1218"
"2009";"Dec";33;12;26;"ITA_TM_VL_1218"
"2010";"Jan";37;16;22;"ITA_TM_VL_1218"
"2010";"Feb";37;12;22;"ITA_TM_VL_1218"
"2010";"Mar";37;16;22;"ITA_TM_VL_1218"
"2010";"Apr";37;17;22;"ITA_TM_VL_1218"
"2010";"May";38;14;22;"ITA_TM_VL_1218"
"2010";"Jun";38;14;22;"ITA_TM_VL_1218"
"2010";"Jul";38;15;22;"ITA_TM_VL_1218"
"2010";"Aug";38;0;22;"ITA_TM_VL_1218"
"2010";"Sep";38;11;22;"ITA_TM_VL_1218"
"2010";"Oct";38;13;22;"ITA_TM_VL_1218"
"2010";"Nov";38;13;22;"ITA_TM_VL_1218"
"2010";"Dec";38;13;22;"ITA_TM_VL_1218"
"2011";"Jan";26;15;28;"ITA_TM_VL_1218"
"2011";"Feb";26;10;28;"ITA_TM_VL_1218"
"2011";"Mar";26;11;28;"ITA_TM_VL_1218"
"2011";"Apr";26;13;29;"ITA_TM_VL_1218"
"2011";"May";26;13;29;"ITA_TM_VL_1218"
"2011";"Jun";24;13;31;"ITA_TM_VL_1218"
"2011";"Jul";26;10;27;"ITA_TM_VL_1218"
"2011";"Aug";24;0;29;"ITA_TM_VL_1218"
"2011";"Sep";24;0;29;"ITA_TM_VL_1218"
"2011";"Oct";24;11;29;"ITA_TM_VL_1218"
"2011";"Nov";24;13;29;"ITA_TM_VL_1218"
"2011";"Dec";24;12;29;"ITA_TM_VL_1218"
"2012";"Jan";47;10;23;"ITA_TM_VL_1218"
"2012";"Feb";47;6;23;"ITA_TM_VL_1218"
"2012";"Mar";47;12;23;"ITA_TM_VL_1218"
"2012";"Apr";47;13;23;"ITA_TM_VL_1218"
"2012";"May";47;15;23;"ITA_TM_VL_1218"
"2012";"Jun";47;10;23;"ITA_TM_VL_1218"
"2012";"Jul";47;5;23;"ITA_TM_VL_1218"
"2012";"Aug";47;2;23;"ITA_TM_VL_1218"
"2012";"Sep";47;10;23;"ITA_TM_VL_1218"
