run_N;a;b;c
1;8040270.93;0.886362602;2.489744566
2;17982674.33;0.889365944;2.468711592
3;12904329.48;0.915856954;2.413238553
4;12779525.16;0.906496808;2.607379478
5;11607294.8;0.891670706;2.491052348
6;13704659.7;0.89279307;2.417613124
7;15291674.03;0.897668933;2.638331359
8;8201675.474;0.890912798;2.495784385
9;9691501.446;0.929011096;2.615520297
10;11329470.54;0.908131068;2.384110966
11;13334945.95;0.848450291;2.603887993
12;6905607.345;0.934525572;2.451564643
13;11299054.73;0.85059104;2.443276
14;8609234.512;0.901047992;2.466573936
15;11813446.09;0.900455459;2.511170659
16;12364265.95;0.924568453;2.77206805
17;6844537.677;0.907356613;2.400464857
18;17338320.96;0.918919938;2.510850615
19;13541704.64;0.889823382;2.494878634
20;14033932.08;0.924214395;2.396525845
21;8287965.262;0.875752118;2.555768733
22;10394968.58;0.859963714;2.511900434
23;13452109.01;0.924862757;2.547753145
24;12918609.58;0.916299158;2.649525573
25;15763602.97;0.946104896;2.513298183
26;6954390.904;0.92215235;2.406388732
27;15846930.68;0.962044641;2.516679973
28;15554377.3;0.886277499;2.556452961
29;14021373.8;0.945802636;2.579614858
30;6139295.097;0.879673706;2.547867796
31;10307425.92;0.876143046;2.476695279
32;9423690.318;0.936319056;2.568838257
33;8927336.443;0.888995838;2.568270698
34;14715167.5;0.882857471;2.466029355
35;12198369.9;0.90307451;2.571635543
36;9178277.609;0.907676588;2.477966468
37;10562944.18;0.879534971;2.484451271
38;13942807.11;0.878817466;2.493610507
39;6900297.708;0.886430702;2.722343603
40;10408205.13;0.854832488;2.383480626
41;11857740.44;0.895644118;2.464333801
42;10124297.16;0.90530481;2.43010946
43;11979181.77;0.948606034;2.425182707
44;11413102.19;0.87660425;2.499648779
45;14071914.86;0.937134654;2.631573043
46;9916535.117;0.936605364;2.557322851
47;9982614.733;0.897915928;2.439995855
48;9474322.464;0.923654216;2.623109809
49;10504935.6;0.890504227;2.645402212
50;13649743.12;0.920756294;2.535568118
51;15608681.78;0.953880292;2.663434237
52;12870833.25;0.915544961;2.403841392
53;11582343.91;0.863306142;2.470494354
54;14230742.17;0.884512277;2.49733853
55;7693526.578;0.892309583;2.625946737
56;14836003.51;0.857749652;2.423874276
57;12222646.53;0.900832933;2.452169431
58;13823856.59;0.883991149;2.384508449
59;12088288.35;0.921805766;2.42851138
60;14823821.69;0.906623881;2.522017011
61;10950567.34;0.922284776;2.560302946
62;13097349.23;0.901432098;2.56263207
63;14546099.07;0.893251468;2.41962583
64;9527907.272;0.938831079;2.567137338
65;12492382.14;0.941936232;2.459937086
66;16488264.39;0.879691473;2.588679996
67;13267281.64;0.910008122;2.484410807
