"Age";"Year";"fs1";"fs2";"fs3";"fs4";"fs5";"fs6";"fs7";"fs8";"Sex"
0;2008;0.000801216;0.002647499;0.006110966;0.002127191;0.000495066;0.001695985;0.002844219;4.59e-05;"M"
1;2008;0.013880124;0.045864826;0.10586534;0.036851098;0.008576435;0.029380962;0.049272763;0.000794452;"M"
2;2008;0.062998304;0.208168611;0.480495461;0.167257625;0.038926224;0.133352603;0.223636359;0.003605814;"M"
3;2008;0.099005751;0.327149914;0.755128489;0.262855756;0.061174981;0.209571906;0.351458442;0.005666761;"M"
4;2008;0.099005751;0.327149914;0.755128489;0.262855756;0.061174981;0.209571906;0.351458442;0.005666761;"M"
0;2008;0.000801216;0.002647499;0.006110966;0.002127191;0.000495066;0.001695985;0.002844219;4.59e-05;"F"
1;2008;0.013880124;0.045864826;0.10586534;0.036851098;0.008576435;0.029380962;0.049272763;0.000794452;"F"
2;2008;0.062998304;0.208168611;0.480495461;0.167257625;0.038926224;0.133352603;0.223636359;0.003605814;"F"
3;2008;0.099005751;0.327149914;0.755128489;0.262855756;0.061174981;0.209571906;0.351458442;0.005666761;"F"
4;2008;0.099005751;0.327149914;0.755128489;0.262855756;0.061174981;0.209571906;0.351458442;0.005666761;"F"
0;2009;0.002980311;0.002258453;0.004048281;0.001256698;0.000409535;0.001326961;0.002225353;3.54e-05;"M"
1;2009;0.086498918;0.065548087;0.117495091;0.036473708;0.011886108;0.038512977;0.06458743;0.001027682;"M"
2;2009;0.382634789;0.289957136;0.519748804;0.161344323;0.052579135;0.170365191;0.285707591;0.004546032;"M"
3;2009;0.498862625;0.378033524;0.677625925;0.210353723;0.068550393;0.222114739;0.372493152;0.005926919;"M"
4;2009;0.498862625;0.378033524;0.677625925;0.210353723;0.068550393;0.222114739;0.372493152;0.005926919;"M"
0;2009;0.002980311;0.002258453;0.004048281;0.001256698;0.000409535;0.001326961;0.002225353;3.54e-05;"F"
1;2009;0.086498918;0.065548087;0.117495091;0.036473708;0.011886108;0.038512977;0.06458743;0.001027682;"F"
2;2009;0.382634789;0.289957136;0.519748804;0.161344323;0.052579135;0.170365191;0.285707591;0.004546032;"F"
3;2009;0.498862625;0.378033524;0.677625925;0.210353723;0.068550393;0.222114739;0.372493152;0.005926919;"F"
4;2009;0.498862625;0.378033524;0.677625925;0.210353723;0.068550393;0.222114739;0.372493152;0.005926919;"F"
0;2010;0.005229426;0.004123768;0.005592689;0.001487552;0.000626511;0.001806756;0.003393328;2.8e-05;"M"
1;2010;0.140881493;0.111094926;0.150667858;0.040074879;0.01687829;0.048674268;0.091416744;0.000753543;"M"
2;2010;0.449991269;0.354849635;0.481250012;0.128003652;0.05391115;0.155471064;0.291995318;0.0024069;"M"
3;2010;0.620396211;0.489225868;0.663492171;0.176476714;0.074326493;0.214345623;0.402569564;0.003318356;"M"
4;2010;0.620396211;0.489225868;0.663492171;0.176476714;0.074326493;0.214345623;0.402569564;0.003318356;"M"
0;2010;0.005229426;0.004123768;0.005592689;0.001487552;0.000626511;0.001806756;0.003393328;2.8e-05;"F"
1;2010;0.140881493;0.111094926;0.150667858;0.040074879;0.01687829;0.048674268;0.091416744;0.000753543;"F"
2;2010;0.449991269;0.354849635;0.481250012;0.128003652;0.05391115;0.155471064;0.291995318;0.0024069;"F"
3;2010;0.620396211;0.489225868;0.663492171;0.176476714;0.074326493;0.214345623;0.402569564;0.003318356;"F"
4;2010;0.620396211;0.489225868;0.663492171;0.176476714;0.074326493;0.214345623;0.402569564;0.003318356;"F"
0;2011;0.003182281;0.003253487;0.005986557;0.001924376;0.000796775;0.003544625;0.005945488;5.74e-05;"M"
1;2011;0.056033199;0.057286986;0.105410529;0.033884166;0.014029509;0.062413302;0.104687391;0.001010918;"M"
2;2011;0.275229341;0.281387817;0.517765736;0.166435556;0.068911514;0.306567753;0.514213758;0.004965524;"M"
3;2011;0.467507236;0.477968082;0.879481915;0.282709054;0.117053768;0.520738967;0.87344849;0.008434488;"M"
4;2011;0.467507236;0.477968082;0.879481915;0.282709054;0.117053768;0.520738967;0.87344849;0.008434488;"M"
0;2011;0.003182281;0.003253487;0.005986557;0.001924376;0.000796775;0.003544625;0.005945488;5.74e-05;"F"
1;2011;0.056033199;0.057286986;0.105410529;0.033884166;0.014029509;0.062413302;0.104687391;0.001010918;"F"
2;2011;0.275229341;0.281387817;0.517765736;0.166435556;0.068911514;0.306567753;0.514213758;0.004965524;"F"
3;2011;0.467507236;0.477968082;0.879481915;0.282709054;0.117053768;0.520738967;0.87344849;0.008434488;"F"
4;2011;0.467507236;0.477968082;0.879481915;0.282709054;0.117053768;0.520738967;0.87344849;0.008434488;"F"
0;2012;0.003682738;0.002358088;0.008488922;0.002631192;0.000461945;0.002346829;0.003808729;3.56e-05;"M"
1;2012;0.062008384;0.039704476;0.142932865;0.044302899;0.007778025;0.039514905;0.06412975;0.000598696;"M"
2;2012;0.206954315;0.132514542;0.477041511;0.147861878;0.025959327;0.131881847;0.21403442;0.00199816;"M"
3;2012;0.277518641;0.177697457;0.639696309;0.198277709;0.034810567;0.176849034;0.287012819;0.002679464;"M"
