"fleet_segment";"Month";"VESSELS";"DAYS";"GT"
"ITA17_TM_1218";"0";"31.8";"3.6";"23.2"
"ITA17_TM_1218";"1";"31.8";"3.6";"23.2"
"ITA17_TM_1218";"2";"31.8";"3.7";"23.2"
"ITA17_TM_1218";"3";"31.8";"7.2";"23.2"
"ITA17_TM_1218";"4";"31.8";"11.2";"23.2"
"ITA17_TM_1218";"5";"31.8";"9.8";"23.2"
"ITA17_TM_1218";"6";"31.8";"5.9";"23.2"
"ITA17_TM_1218";"7";"31.8";"10.5";"23.2"
"ITA17_TM_1218";"8";"31.8";"0";"23.2"
"ITA17_TM_1218";"9";"31.8";"4.2";"23.2"
"ITA17_TM_1218";"10";"31.8";"5.3";"23.2"
"ITA17_TM_1218";"11";"31.8";"4";"23.2"
"ITA17_TM_1218";"12";"31.8";"3.2";"23.2"
"ITA17_TM_1218";"13";"32.9";"15.1";"24.3"
"ITA17_TM_1218";"14";"32.9";"18.5";"24.3"
"ITA17_TM_1218";"15";"32.9";"20.6";"24.3"
"ITA17_TM_1218";"16";"32.9";"14.2";"24.3"
"ITA17_TM_1218";"17";"32.9";"17.1";"24.3"
"ITA17_TM_1218";"18";"32.9";"19.6";"24.3"
"ITA17_TM_1218";"19";"32.9";"17.1";"24.3"
"ITA17_TM_1218";"20";"32.9";"0.7";"24.3"
"ITA17_TM_1218";"21";"32.9";"14.6";"24.3"
"ITA17_TM_1218";"22";"32.9";"15.6";"24.3"
"ITA17_TM_1218";"23";"32.9";"18.3";"24.3"
"ITA17_TM_1218";"24";"32.9";"12.1";"24.3"
"ITA17_TM_1218";"25";"37.5";"15.8";"22"
"ITA17_TM_1218";"26";"37.5";"12";"22"
"ITA17_TM_1218";"27";"37.5";"16.3";"22"
"ITA17_TM_1218";"28";"37.5";"16.8";"22"
"ITA17_TM_1218";"29";"37.5";"14.3";"22"
"ITA17_TM_1218";"30";"37.5";"14";"22"
"ITA17_TM_1218";"31";"37.5";"14.9";"22"
"ITA17_TM_1218";"32";"37.5";"0";"22"
"ITA17_TM_1218";"33";"37.5";"10.5";"22"
"ITA17_TM_1218";"34";"37.5";"12.7";"22"
"ITA17_TM_1218";"35";"37.5";"13.3";"22"
"ITA17_TM_1218";"36";"37.5";"13";"22"
"ITA17_TM_1218";"37";"25.1";"16";"28.6"
"ITA17_TM_1218";"38";"25.1";"10.8";"28.6"
"ITA17_TM_1218";"39";"25.1";"11.3";"28.6"
"ITA17_TM_1218";"40";"25.1";"13.3";"28.6"
"ITA17_TM_1218";"41";"25.1";"13.3";"28.6"
"ITA17_TM_1218";"42";"25.1";"12.8";"28.6"
"ITA17_TM_1218";"43";"25.1";"10.2";"28.6"
"ITA17_TM_1218";"44";"25.1";"0";"28.6"
"ITA17_TM_1218";"45";"25.1";"0";"28.6"
"ITA17_TM_1218";"46";"25.1";"10.8";"28.6"
"ITA17_TM_1218";"47";"25.1";"12.1";"28.6"
"ITA17_TM_1218";"48";"25.1";"12";"28.6"
"ITA17_TM_1218";"49";"47.2";"9.6";"23.1"
"ITA17_TM_1218";"50";"47.2";"6.2";"23.1"
"ITA17_TM_1218";"51";"47.2";"12";"23.1"
"ITA17_TM_1218";"52";"47.2";"13.3";"23.1"
"ITA17_TM_1218";"53";"47.2";"14.6";"23.1"
"ITA17_TM_1218";"54";"47.2";"10.1";"23.1"
"ITA17_TM_1218";"55";"47.2";"5.2";"23.1"
"ITA17_TM_1218";"56";"47.2";"1.8";"23.1"
"ITA17_TM_1218";"57";"47.2";"10.4";"23.1"
"ITA17_TM_1218";"58";"47.2";"9.4";"23.1"
"ITA17_TM_1218";"59";"47.2";"8.1";"23.1"
"ITA17_TM_1218";"60";"47.2";"10";"23.1"
"ITA17_TM_1218";"61";"35";"12.8";"27.5"
"ITA17_TM_1218";"62";"35";"9.4";"27.5"
"ITA17_TM_1218";"63";"35";"9.4";"27.5"
"ITA17_TM_1218";"64";"35";"12.1";"27.5"
"ITA17_TM_1218";"65";"35";"13";"27.5"
"ITA17_TM_1218";"66";"35";"12.9";"27.5"
"ITA17_TM_1218";"67";"35";"9.3";"27.5"
"ITA17_TM_1218";"68";"35";"0";"27.5"
"ITA17_TM_1218";"69";"35";"10.1";"27.5"
"ITA17_TM_1218";"70";"35";"11.2";"27.5"
"ITA17_TM_1218";"71";"35";"10.9";"27.5"
