"age_month";"M"
"2";2.4
"3";2.4
"4";2.4
"5";2.4
"6";2.4
"7";2.4
"8";2.4
"9";2.4
"10";2.4
"11";2.4
"12";2.4
"13";1.1
"14";1.1
"15";1.1
"16";1.1
"17";1.1
"18";1.1
"19";1.1
"20";1.1
"21";1.1
"22";1.1
"23";1.1
"24";1.1
"25";0.8
"26";0.8
"27";0.8
"28";0.8
"29";0.8
"30";0.8
"31";0.8
"32";0.8
"33";0.8
"34";0.8
"35";0.8
"36";0.8
"37";0.7
"38";0.7
"39";0.7
"40";0.7
"41";0.7
"42";0.7
"43";0.7
"44";0.7
"45";0.7
"46";0.7
"47";0.7
"48";0.7
"49";0.6
"50";0.6
"51";0.6
"52";0.6
"53";0.6
"54";0.6
"55";0.6
"56";0.6
"57";0.6
"58";0.6
"59";0.6
"60";0.6
