"year";"month";"P_PRODUCTION";"fleet_segment"
"";"seed";0.017639362509829;"ITA_TM_VL_1218"
"2008";"Jan";0.017639362509829;"ITA_TM_VL_1218"
"2008";"Feb";0.0246715902719196;"ITA_TM_VL_1218"
"2008";"Mar";0.0701973353504844;"ITA_TM_VL_1218"
"2008";"Apr";0.106915833927203;"ITA_TM_VL_1218"
"2008";"May";0.0842874712697729;"ITA_TM_VL_1218"
"2008";"Jun";0.043777609037065;"ITA_TM_VL_1218"
"2008";"Jul";0.0602895877995326;"ITA_TM_VL_1218"
"2008";"Aug";0;"ITA_TM_VL_1218"
"2008";"Sep";0.0230407899714462;"ITA_TM_VL_1218"
"2008";"Oct";0.0329454632493426;"ITA_TM_VL_1218"
"2008";"Nov";0.0276492156863445;"ITA_TM_VL_1218"
"2008";"Dec";0.0352387956955015;"ITA_TM_VL_1218"
"2009";"Jan";0.210601838645224;"ITA_TM_VL_1218"
"2009";"Feb";0.265093807162429;"ITA_TM_VL_1218"
"2009";"Mar";0.242317067613321;"ITA_TM_VL_1218"
"2009";"Apr";0.192591373394925;"ITA_TM_VL_1218"
"2009";"May";0.193882774319064;"ITA_TM_VL_1218"
"2009";"Jun";0.208841616999991;"ITA_TM_VL_1218"
"2009";"Jul";0.181019398141348;"ITA_TM_VL_1218"
"2009";"Aug";0.0292512435927281;"ITA_TM_VL_1218"
"2009";"Sep";0.191155243062645;"ITA_TM_VL_1218"
"2009";"Oct";0.214533091326598;"ITA_TM_VL_1218"
"2009";"Nov";0.227897717971643;"ITA_TM_VL_1218"
"2009";"Dec";0.192614577775353;"ITA_TM_VL_1218"
"2010";"Jan";0.300105788923702;"ITA_TM_VL_1218"
"2010";"Feb";0.1932515971746;"ITA_TM_VL_1218"
"2010";"Mar";0.28246776615639;"ITA_TM_VL_1218"
"2010";"Apr";0.337666877990519;"ITA_TM_VL_1218"
"2010";"May";0.246133254230824;"ITA_TM_VL_1218"
"2010";"Jun";0.212490587291342;"ITA_TM_VL_1218"
"2010";"Jul";0.276746142547943;"ITA_TM_VL_1218"
"2010";"Aug";0;"ITA_TM_VL_1218"
