"year";"month";"PRODUCTION";"fleet_segment"
"";"seed";"62137";"ITA_TM_VL_1218"
"2008";"Jan";"62137";"ITA_TM_VL_1218"
"2008";"Feb";"86902";"ITA_TM_VL_1218"
"2008";"Mar";"208104";"ITA_TM_VL_1218"
"2008";"Apr";"406392";"ITA_TM_VL_1218"
"2008";"May";"290002";"ITA_TM_VL_1218"
"2008";"Jun";"102027";"ITA_TM_VL_1218"
"2008";"Jul";"265090";"ITA_TM_VL_1218"
"2008";"Aug";"0";"ITA_TM_VL_1218"
"2008";"Sep";"72090";"ITA_TM_VL_1218"
"2008";"Oct";"113479";"ITA_TM_VL_1218"
"2008";"Nov";"68743";"ITA_TM_VL_1218"
"2008";"Dec";"78385";"ITA_TM_VL_1218"
"2009";"Jan";"805481";"ITA_TM_VL_1218"
"2009";"Feb";"871240";"ITA_TM_VL_1218"
"2009";"Mar";"1041800";"ITA_TM_VL_1218"
"2009";"Apr";"699253";"ITA_TM_VL_1218"
"2009";"May";"710717";"ITA_TM_VL_1218"
"2009";"Jun";"822975";"ITA_TM_VL_1218"
"2009";"Jul";"642947";"ITA_TM_VL_1218"
"2009";"Aug";"42870";"ITA_TM_VL_1218"
"2009";"Sep";"639134";"ITA_TM_VL_1218"
"2009";"Oct";"712917";"ITA_TM_VL_1218"
"2009";"Nov";"810672";"ITA_TM_VL_1218"
"2009";"Dec";"535752";"ITA_TM_VL_1218"
"2010";"Jan";"1215689";"ITA_TM_VL_1218"
"2010";"Feb";"623965";"ITA_TM_VL_1218"
"2010";"Mar";"1172341";"ITA_TM_VL_1218"
"2010";"Apr";"1288001";"ITA_TM_VL_1218"
"2010";"May";"915107";"ITA_TM_VL_1218"
"2010";"Jun";"745978";"ITA_TM_VL_1218"
"2010";"Jul";"1039820";"ITA_TM_VL_1218"
"2010";"Aug";"0";"ITA_TM_VL_1218"
"2010";"Sep";"557508";"ITA_TM_VL_1218"
"2010";"Oct";"573127";"ITA_TM_VL_1218"
"2010";"Nov";"733932";"ITA_TM_VL_1218"
"2010";"Dec";"642513";"ITA_TM_VL_1218"
"2011";"Jan";"664941";"ITA_TM_VL_1218"
"2011";"Feb";"303195";"ITA_TM_VL_1218"
"2011";"Mar";"345914";"ITA_TM_VL_1218"
"2011";"Apr";"391153";"ITA_TM_VL_1218"
"2011";"May";"481010";"ITA_TM_VL_1218"
"2011";"Jun";"458015";"ITA_TM_VL_1218"
"2011";"Jul";"366606";"ITA_TM_VL_1218"
"2011";"Aug";"0";"ITA_TM_VL_1218"
"2011";"Sep";"0";"ITA_TM_VL_1218"
"2011";"Oct";"353094";"ITA_TM_VL_1218"
"2011";"Nov";"419343";"ITA_TM_VL_1218"
"2011";"Dec";"456310";"ITA_TM_VL_1218"
"2012";"Jan";"338008";"ITA_TM_VL_1218"
"2012";"Feb";"159018";"ITA_TM_VL_1218"
"2012";"Mar";"577842";"ITA_TM_VL_1218"
"2012";"Apr";"591413";"ITA_TM_VL_1218"
"2012";"May";"556640";"ITA_TM_VL_1218"
"2012";"Jun";"363611";"ITA_TM_VL_1218"
"2012";"Jul";"212691";"ITA_TM_VL_1218"
"2012";"Aug";"43747";"ITA_TM_VL_1218"
"2012";"Sep";"503928";"ITA_TM_VL_1218"
"2012";"Oct";"267105";"ITA_TM_VL_1218"
"2012";"Nov";"280087";"ITA_TM_VL_1218"
"2012";"Dec";"603855";"ITA_TM_VL_1218"
"2013";"Jan";"303513";"ITA_TM_VL_1218"
"2013";"Feb";"113534";"ITA_TM_VL_1218"
"2013";"Mar";"157150";"ITA_TM_VL_1218"
"2013";"Apr";"297631";"ITA_TM_VL_1218"
"2013";"May";"192704";"ITA_TM_VL_1218"
"2013";"Jun";"206162";"ITA_TM_VL_1218"
"2013";"Jul";"105325";"ITA_TM_VL_1218"
"2013";"Aug";"0";"ITA_TM_VL_1218"
"2013";"Sep";"245986";"ITA_TM_VL_1218"
"2013";"Oct";"157456";"ITA_TM_VL_1218"
"2013";"Nov";"153364";"ITA_TM_VL_1218"
"2013";"Dec";"263322";"ITA_TM_VL_1218"
"2014";"Jan";"303513";"ITA_TM_VL_1218"
"2014";"Feb";"113534";"ITA_TM_VL_1218"
"2014";"Mar";"157150";"ITA_TM_VL_1218"
"2014";"Apr";"297631";"ITA_TM_VL_1218"
"2014";"May";"192704";"ITA_TM_VL_1218"
"2014";"Jun";"206162";"ITA_TM_VL_1218"
"2014";"Jul";"105325";"ITA_TM_VL_1218"
"2014";"Aug";"0";"ITA_TM_VL_1218"
"2014";"Sep";"245986";"ITA_TM_VL_1218"
"2014";"Oct";"157456";"ITA_TM_VL_1218"
"2014";"Nov";"153364";"ITA_TM_VL_1218"
"2014";"Dec";"263322";"ITA_TM_VL_1218"
"";"seed";"782545";"ITA_TM_VL_1824"
"2008";"Jan";"782545";"ITA_TM_VL_1824"
"2008";"Feb";"606634";"ITA_TM_VL_1824"
"2008";"Mar";"528771";"ITA_TM_VL_1824"
"2008";"Apr";"718935";"ITA_TM_VL_1824"
"2008";"May";"630098";"ITA_TM_VL_1824"
"2008";"Jun";"295820";"ITA_TM_VL_1824"
"2008";"Jul";"794506";"ITA_TM_VL_1824"
"2008";"Aug";"11564";"ITA_TM_VL_1824"
"2008";"Sep";"383274";"ITA_TM_VL_1824"
"2008";"Oct";"400314";"ITA_TM_VL_1824"
"2008";"Nov";"334519";"ITA_TM_VL_1824"
"2008";"Dec";"306710";"ITA_TM_VL_1824"
"2009";"Jan";"778250";"ITA_TM_VL_1824"
"2009";"Feb";"479171";"ITA_TM_VL_1824"
"2009";"Mar";"630145";"ITA_TM_VL_1824"
"2009";"Apr";"624173";"ITA_TM_VL_1824"
"2009";"May";"650895";"ITA_TM_VL_1824"
"2009";"Jun";"809718";"ITA_TM_VL_1824"
"2009";"Jul";"496400";"ITA_TM_VL_1824"
"2009";"Aug";"10000";"ITA_TM_VL_1824"
"2009";"Sep";"404948";"ITA_TM_VL_1824"
"2009";"Oct";"449255";"ITA_TM_VL_1824"
"2009";"Nov";"545266";"ITA_TM_VL_1824"
"2009";"Dec";"438540";"ITA_TM_VL_1824"
"2010";"Jan";"879913";"ITA_TM_VL_1824"
"2010";"Feb";"769097";"ITA_TM_VL_1824"
"2010";"Mar";"968003";"ITA_TM_VL_1824"
"2010";"Apr";"668173";"ITA_TM_VL_1824"
"2010";"May";"848668";"ITA_TM_VL_1824"
"2010";"Jun";"525655";"ITA_TM_VL_1824"
"2010";"Jul";"426769";"ITA_TM_VL_1824"
"2010";"Aug";"0";"ITA_TM_VL_1824"
"2010";"Sep";"722351";"ITA_TM_VL_1824"
"2010";"Oct";"741009";"ITA_TM_VL_1824"
"2010";"Nov";"565974";"ITA_TM_VL_1824"
"2010";"Dec";"382097";"ITA_TM_VL_1824"
"2011";"Jan";"686007";"ITA_TM_VL_1824"
"2011";"Feb";"460301";"ITA_TM_VL_1824"
"2011";"Mar";"512304";"ITA_TM_VL_1824"
"2011";"Apr";"267986";"ITA_TM_VL_1824"
"2011";"May";"415713";"ITA_TM_VL_1824"
"2011";"Jun";"387286";"ITA_TM_VL_1824"
"2011";"Jul";"390758";"ITA_TM_VL_1824"
"2011";"Aug";"0";"ITA_TM_VL_1824"
"2011";"Sep";"0";"ITA_TM_VL_1824"
"2011";"Oct";"506762";"ITA_TM_VL_1824"
"2011";"Nov";"409329";"ITA_TM_VL_1824"
"2011";"Dec";"297999";"ITA_TM_VL_1824"
"2012";"Jan";"447381";"ITA_TM_VL_1824"
"2012";"Feb";"329275";"ITA_TM_VL_1824"
"2012";"Mar";"403083";"ITA_TM_VL_1824"
"2012";"Apr";"183300";"ITA_TM_VL_1824"
"2012";"May";"121030";"ITA_TM_VL_1824"
"2012";"Jun";"204264";"ITA_TM_VL_1824"
"2012";"Jul";"48197";"ITA_TM_VL_1824"
"2012";"Aug";"22560";"ITA_TM_VL_1824"
"2012";"Sep";"251503";"ITA_TM_VL_1824"
"2012";"Oct";"313730";"ITA_TM_VL_1824"
"2012";"Nov";"269071";"ITA_TM_VL_1824"
"2012";"Dec";"286677";"ITA_TM_VL_1824"
"2013";"Jan";"336408";"ITA_TM_VL_1824"
"2013";"Feb";"176064";"ITA_TM_VL_1824"
"2013";"Mar";"215556";"ITA_TM_VL_1824"
"2013";"Apr";"123354";"ITA_TM_VL_1824"
"2013";"May";"114140";"ITA_TM_VL_1824"
"2013";"Jun";"51896";"ITA_TM_VL_1824"
"2013";"Jul";"17848";"ITA_TM_VL_1824"
"2013";"Aug";"0";"ITA_TM_VL_1824"
"2013";"Sep";"111583";"ITA_TM_VL_1824"
"2013";"Oct";"148795";"ITA_TM_VL_1824"
"2013";"Nov";"236543";"ITA_TM_VL_1824"
"2013";"Dec";"280994";"ITA_TM_VL_1824"
"2014";"Jan";"336408";"ITA_TM_VL_1824"
"2014";"Feb";"176064";"ITA_TM_VL_1824"
"2014";"Mar";"215556";"ITA_TM_VL_1824"
"2014";"Apr";"123354";"ITA_TM_VL_1824"
"2014";"May";"114140";"ITA_TM_VL_1824"
"2014";"Jun";"51896";"ITA_TM_VL_1824"
"2014";"Jul";"17848";"ITA_TM_VL_1824"
"2014";"Aug";"0";"ITA_TM_VL_1824"
"2014";"Sep";"111583";"ITA_TM_VL_1824"
"2014";"Oct";"148795";"ITA_TM_VL_1824"
"2014";"Nov";"236543";"ITA_TM_VL_1824"
"2014";"Dec";"280994";"ITA_TM_VL_1824"
"";"seed";"1588001";"ITA_TM_VL_2440"
"2008";"Jan";"1588001";"ITA_TM_VL_2440"
"2008";"Feb";"1686100";"ITA_TM_VL_2440"
"2008";"Mar";"1135387";"ITA_TM_VL_2440"
"2008";"Apr";"1495778";"ITA_TM_VL_2440"
"2008";"May";"1051707";"ITA_TM_VL_2440"
"2008";"Jun";"491978";"ITA_TM_VL_2440"
"2008";"Jul";"1534759";"ITA_TM_VL_2440"
"2008";"Aug";"35390";"ITA_TM_VL_2440"
"2008";"Sep";"1107824";"ITA_TM_VL_2440"
"2008";"Oct";"1356753";"ITA_TM_VL_2440"
"2008";"Nov";"1060204";"ITA_TM_VL_2440"
"2008";"Dec";"829133";"ITA_TM_VL_2440"
"2009";"Jan";"1275488";"ITA_TM_VL_2440"
"2009";"Feb";"911823";"ITA_TM_VL_2440"
"2009";"Mar";"1551207";"ITA_TM_VL_2440"
"2009";"Apr";"1153408";"ITA_TM_VL_2440"
"2009";"May";"936062";"ITA_TM_VL_2440"
"2009";"Jun";"910921";"ITA_TM_VL_2440"
"2009";"Jul";"954956";"ITA_TM_VL_2440"
"2009";"Aug";"21502";"ITA_TM_VL_2440"
"2009";"Sep";"830534";"ITA_TM_VL_2440"
"2009";"Oct";"891652";"ITA_TM_VL_2440"
"2009";"Nov";"1081787";"ITA_TM_VL_2440"
"2009";"Dec";"803468";"ITA_TM_VL_2440"
"2010";"Jan";"992916";"ITA_TM_VL_2440"
"2010";"Feb";"895112";"ITA_TM_VL_2440"
"2010";"Mar";"1010512";"ITA_TM_VL_2440"
"2010";"Apr";"881733";"ITA_TM_VL_2440"
"2010";"May";"1023034";"ITA_TM_VL_2440"
"2010";"Jun";"957948";"ITA_TM_VL_2440"
"2010";"Jul";"848919";"ITA_TM_VL_2440"
"2010";"Aug";"0";"ITA_TM_VL_2440"
"2010";"Sep";"804347";"ITA_TM_VL_2440"
"2010";"Oct";"781303";"ITA_TM_VL_2440"
"2010";"Nov";"1130346";"ITA_TM_VL_2440"
"2010";"Dec";"842285";"ITA_TM_VL_2440"
"2011";"Jan";"803704";"ITA_TM_VL_2440"
"2011";"Feb";"764341";"ITA_TM_VL_2440"
"2011";"Mar";"641302";"ITA_TM_VL_2440"
"2011";"Apr";"822181";"ITA_TM_VL_2440"
"2011";"May";"698585";"ITA_TM_VL_2440"
"2011";"Jun";"837522";"ITA_TM_VL_2440"
"2011";"Jul";"874207";"ITA_TM_VL_2440"
"2011";"Aug";"0";"ITA_TM_VL_2440"
"2011";"Sep";"0";"ITA_TM_VL_2440"
"2011";"Oct";"786639";"ITA_TM_VL_2440"
"2011";"Nov";"915399";"ITA_TM_VL_2440"
"2011";"Dec";"831686";"ITA_TM_VL_2440"
"2012";"Jan";"1032896";"ITA_TM_VL_2440"
"2012";"Feb";"920256";"ITA_TM_VL_2440"
"2012";"Mar";"929202";"ITA_TM_VL_2440"
"2012";"Apr";"1157897";"ITA_TM_VL_2440"
"2012";"May";"1209313";"ITA_TM_VL_2440"
"2012";"Jun";"819329";"ITA_TM_VL_2440"
"2012";"Jul";"760005";"ITA_TM_VL_2440"
"2012";"Aug";"110514";"ITA_TM_VL_2440"
"2012";"Sep";"370495";"ITA_TM_VL_2440"
"2012";"Oct";"1042653";"ITA_TM_VL_2440"
"2012";"Nov";"1040058";"ITA_TM_VL_2440"
"2012";"Dec";"975402";"ITA_TM_VL_2440"
"2013";"Jan";"957308";"ITA_TM_VL_2440"
"2013";"Feb";"579771";"ITA_TM_VL_2440"
"2013";"Mar";"494516";"ITA_TM_VL_2440"
"2013";"Apr";"601418";"ITA_TM_VL_2440"
"2013";"May";"693973";"ITA_TM_VL_2440"
"2013";"Jun";"713657";"ITA_TM_VL_2440"
"2013";"Jul";"688413";"ITA_TM_VL_2440"
"2013";"Aug";"11002";"ITA_TM_VL_2440"
"2013";"Sep";"626439";"ITA_TM_VL_2440"
"2013";"Oct";"840637";"ITA_TM_VL_2440"
"2013";"Nov";"776275";"ITA_TM_VL_2440"
"2013";"Dec";"753905";"ITA_TM_VL_2440"
"2014";"Jan";"957308";"ITA_TM_VL_2440"
"2014";"Feb";"579771";"ITA_TM_VL_2440"
"2014";"Mar";"494516";"ITA_TM_VL_2440"
"2014";"Apr";"601418";"ITA_TM_VL_2440"
"2014";"May";"693973";"ITA_TM_VL_2440"
"2014";"Jun";"713657";"ITA_TM_VL_2440"
"2014";"Jul";"688413";"ITA_TM_VL_2440"
"2014";"Aug";"11002";"ITA_TM_VL_2440"
"2014";"Sep";"626439";"ITA_TM_VL_2440"
"2014";"Oct";"840637";"ITA_TM_VL_2440"
"2014";"Nov";"776275";"ITA_TM_VL_2440"
"2014";"Dec";"753905";"ITA_TM_VL_2440"
"";"seed";"163337";"ITA_PS_VL_2440"
"2008";"Jan";"163337";"ITA_PS_VL_2440"
"2008";"Feb";"216102";"ITA_PS_VL_2440"
"2008";"Mar";"165682";"ITA_PS_VL_2440"
"2008";"Apr";"253328";"ITA_PS_VL_2440"
"2008";"May";"542210";"ITA_PS_VL_2440"
"2008";"Jun";"514137";"ITA_PS_VL_2440"
"2008";"Jul";"875977";"ITA_PS_VL_2440"
"2008";"Aug";"458275";"ITA_PS_VL_2440"
"2008";"Sep";"638998";"ITA_PS_VL_2440"
"2008";"Oct";"647291";"ITA_PS_VL_2440"
"2008";"Nov";"96176";"ITA_PS_VL_2440"
"2008";"Dec";"83554";"ITA_PS_VL_2440"
"2009";"Jan";"33769";"ITA_PS_VL_2440"
"2009";"Feb";"92626";"ITA_PS_VL_2440"
"2009";"Mar";"144499";"ITA_PS_VL_2440"
"2009";"Apr";"222251";"ITA_PS_VL_2440"
"2009";"May";"436356";"ITA_PS_VL_2440"
"2009";"Jun";"465377";"ITA_PS_VL_2440"
"2009";"Jul";"525835";"ITA_PS_VL_2440"
"2009";"Aug";"459532";"ITA_PS_VL_2440"
"2009";"Sep";"537243";"ITA_PS_VL_2440"
"2009";"Oct";"337611";"ITA_PS_VL_2440"
"2009";"Nov";"187775";"ITA_PS_VL_2440"
"2009";"Dec";"72037";"ITA_PS_VL_2440"
"2010";"Jan";"75301";"ITA_PS_VL_2440"
"2010";"Feb";"53547";"ITA_PS_VL_2440"
"2010";"Mar";"112448";"ITA_PS_VL_2440"
"2010";"Apr";"89457";"ITA_PS_VL_2440"
"2010";"May";"44075";"ITA_PS_VL_2440"
"2010";"Jun";"394010";"ITA_PS_VL_2440"
"2010";"Jul";"554749";"ITA_PS_VL_2440"
"2010";"Aug";"387452";"ITA_PS_VL_2440"
"2010";"Sep";"388294";"ITA_PS_VL_2440"
"2010";"Oct";"246326";"ITA_PS_VL_2440"
"2010";"Nov";"319933";"ITA_PS_VL_2440"
"2010";"Dec";"39030";"ITA_PS_VL_2440"
"2011";"Jan";"93441";"ITA_PS_VL_2440"
"2011";"Feb";"109016";"ITA_PS_VL_2440"
"2011";"Mar";"72101";"ITA_PS_VL_2440"
"2011";"Apr";"201061";"ITA_PS_VL_2440"
"2011";"May";"356947";"ITA_PS_VL_2440"
"2011";"Jun";"451786";"ITA_PS_VL_2440"
"2011";"Jul";"248090";"ITA_PS_VL_2440"
"2011";"Aug";"203310";"ITA_PS_VL_2440"
"2011";"Sep";"201944";"ITA_PS_VL_2440"
"2011";"Oct";"296572";"ITA_PS_VL_2440"
"2011";"Nov";"225434";"ITA_PS_VL_2440"
"2011";"Dec";"104040";"ITA_PS_VL_2440"
"2012";"Jan";"147667";"ITA_PS_VL_2440"
"2012";"Feb";"145724";"ITA_PS_VL_2440"
"2012";"Mar";"43182";"ITA_PS_VL_2440"
"2012";"Apr";"220211";"ITA_PS_VL_2440"
"2012";"May";"442460";"ITA_PS_VL_2440"
"2012";"Jun";"434713";"ITA_PS_VL_2440"
"2012";"Jul";"504622";"ITA_PS_VL_2440"
"2012";"Aug";"270317";"ITA_PS_VL_2440"
"2012";"Sep";"326465";"ITA_PS_VL_2440"
"2012";"Oct";"342830";"ITA_PS_VL_2440"
"2012";"Nov";"166684";"ITA_PS_VL_2440"
"2012";"Dec";"168755";"ITA_PS_VL_2440"
"2013";"Jan";"13625";"ITA_PS_VL_2440"
"2013";"Feb";"10258";"ITA_PS_VL_2440"
"2013";"Mar";"6061";"ITA_PS_VL_2440"
"2013";"Apr";"3196";"ITA_PS_VL_2440"
"2013";"May";"3703";"ITA_PS_VL_2440"
