"Age";"Year";"fs1";"fs2";"fs3";"fs4";"fs5";"fs6";"fs7";"fs8";"Sex"
0;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
1;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
2;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
3;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
4;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
0;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
1;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
2;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
3;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
4;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
0;2016;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
1;2016;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
2;2016;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
3;2016;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
4;2016;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
0;2016;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
1;2016;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
2;2016;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
3;2016;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
4;2016;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
0;2017;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
1;2017;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
2;2017;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
3;2017;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
4;2017;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
0;2017;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
1;2017;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
2;2017;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
3;2017;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"F"
