"Length";"Year";"fs1";"fs2";"fs3";"fs4";"fs5";"fs6";"fs7";"fs8";"Sex"
0;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
1;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
2;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
3;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
4;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
5;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
6;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
7;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
8;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
9;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
10;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
11;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
12;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
13;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
14;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
15;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
16;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
17;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
18;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
19;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
20;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
21;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
22;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
23;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
24;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
25;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
26;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
27;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
28;2015;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
