"Length";"Year";"fs1";"fs2";"fs3";"fs4";"fs5";"fs6";"fs7";"fs8";"Sex"
0;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
1;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
2;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
3;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
4;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
5;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
6;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
7;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
8;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
9;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
10;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
11;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
12;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
13;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
14;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
15;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
16;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
17;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
18;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
19;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
20;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
21;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
22;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
23;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
24;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
25;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
26;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
27;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
28;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
29;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
30;2008;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;"M"
