year;seed;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;sex
2008;0;0;0;0;0;0;0;0;0;0;0;0;0;M
2009;;0;0;0;0;0;0;0;0;0;0;0;0;M
2010;;0;0;0;0;0;0;0;0;0;0;0;0;M
2011;;0;0;0;0;0;0;0;0;0;0;0;0;M
2012;;0;0;0;0;0;0;0;0;0;0;0;0;M
2013;;0;0;0;0;0;0;0;0;0;0;0;0;M
2014;;0;0;0;0;0;0;0;0;0;0;0;0;M
2008;0;0;0;0;0;0;0;0;0;0;0;0;0;F
2009;;0;0;0;0;0;0;0;0;0;0;0;0;F
2010;;0;0;0;0;0;0;0;0;0;0;0;0;F
2011;;0;0;0;0;0;0;0;0;0;0;0;0;F
2012;;0;0;0;0;0;0;0;0;0;0;0;0;F
2013;;0;0;0;0;0;0;0;0;0;0;0;0;F
2014;;0;0;0;0;0;0;0;0;0;0;0;0;F
