Units:kw;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014
casestudy.fleetsegmentcode;ITADTS_VL0612;ITADTS_VL0612;ITADTS_VL0612;ITADTS_VL0612;ITADTS_VL0612;ITADTS_VL0612;ITADTS_VL0612;ITADTS_VL1218;ITADTS_VL1218;ITADTS_VL1218;ITADTS_VL1218;ITADTS_VL1218;ITADTS_VL1218;ITADTS_VL1218;ITADTS_VL1840;ITADTS_VL1840;ITADTS_VL1840;ITADTS_VL1840;ITADTS_VL1840;ITADTS_VL1840;ITADTS_VL1840;ITAPGP_VL0012;ITAPGP_VL0012;ITAPGP_VL0012;ITAPGP_VL0012;ITAPGP_VL0012;ITAPGP_VL0012;ITAPGP_VL0012;ITATBB_VL1218;ITATBB_VL1218;ITATBB_VL1218;ITATBB_VL1218;ITATBB_VL1218;ITATBB_VL1218;ITATBB_VL1218;ITATBB_VL1840;ITATBB_VL1840;ITATBB_VL1840;ITATBB_VL1840;ITATBB_VL1840;ITATBB_VL1840;ITATBB_VL1840;HRVDFN_VL0612;HRVDFN_VL0612;HRVDFN_VL0612;HRVDFN_VL0612;HRVDFN_VL0612;HRVDFN_VL0612;HRVDFN_VL0612;HRVDTS_VL0612;HRVDTS_VL0612;HRVDTS_VL0612;HRVDTS_VL0612;HRVDTS_VL0612;HRVDTS_VL0612;HRVDTS_VL0612;HRVDTS_VL1218;HRVDTS_VL1218;HRVDTS_VL1218;HRVDTS_VL1218;HRVDTS_VL1218;HRVDTS_VL1218;HRVDTS_VL1218;HRVDTS_VL1840;HRVDTS_VL1840;HRVDTS_VL1840;HRVDTS_VL1840;HRVDTS_VL1840;HRVDTS_VL1840;HRVDTS_VL1840;SVNDFN_VL0612;SVNDFN_VL0612;SVNDFN_VL0612;SVNDFN_VL0612;SVNDFN_VL0612;SVNDFN_VL0612;SVNDFN_VL0612
casestudy.fishingtechnique;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;PGP;PGP;PGP;PGP;PGP;PGP;PGP;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;DFN;DFN;DFN;DFN;DFN;DFN;DFN;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DFN;DFN;DFN;DFN;DFN;DFN;DFN
casestudy.loa;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL0012;VL0012;VL0012;VL0012;VL0012;VL0012;VL0012;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612
casestudy.month1;4400;5979;5902;6047;9104;5558;5558;51048;61199;51113;54076;48621;48159;48159;75673;52697;75191;75477;72775;71362;71362;63304;77163;62720;72442;65942;61509;61509;2813;2819;2400;2830;2021;2455;2455;22121;10541;22688;21516;19384;17455;17455;28093;28093;28093;28093;47402;45807;45807;10897;10897;10897;10897;15461;16506;16506;19876;19876;19876;19876;32028;31000;31000;15740;15740;15740;15740;16403;17327;17327;5206;4875;5293;4694;4839;5032;5032
casestudy.month2;4400;5979;5902;6047;9104;5558;5558;51048;61199;51113;54076;48621;48159;48159;75673;52697;75191;75477;72775;71362;71362;63304;77163;62720;72442;65942;61509;61509;2813;2819;2400;2830;2021;2455;2455;22121;10541;22688;21516;19384;17455;17455;28093;28093;28093;28093;47402;45807;45807;10897;10897;10897;10897;15461;16506;16506;19876;19876;19876;19876;32028;31000;31000;15740;15740;15740;15740;16403;17327;17327;5206;4875;5293;4694;4839;5032;5032
casestudy.month3;4400;5979;5902;6047;9104;5558;5558;51048;61199;51113;54076;48621;48159;48159;75673;52697;76200;75477;72775;71362;71362;63304;77163;62720;72442;65942;61509;61509;2813;2819;2400;2830;2021;2455;2455;22121;10541;22688;21516;19384;17455;17455;28093;28093;28093;28093;47402;45807;45807;10897;10897;10897;10897;15461;16506;16506;19876;19876;19876;19876;32028;31000;31000;15740;15740;15740;15740;16403;17327;17327;5206;4875;5293;4694;4839;5032;5032
casestudy.month4;4400;5979;5902;6750;9104;5558;5558;51048;60141;51113;52155;48621;48159;48159;75673;53213;76200;75608;72775;71362;71362;63304;78345;63365;67242;65942;61509;61509;2813;2819;2400;2830;2061;2455;2455;22121;10565;22688;20950;19384;17455;17455;28093;28093;28093;28093;47402;45807;45807;10897;10897;10897;10897;15461;16506;16506;19876;19876;19876;19876;32028;31000;31000;15740;15740;15740;15740;16403;17327;17327;5206;4875;5293;4694;4839;5032;5032
casestudy.month5;4400;5979;5927;6750;9104;5558;5558;51048;60141;52891;52155;48621;48159;48159;75673;53213;74992;75608;72775;71362;71362;63304;78345;63878;67670;65942;61509;61509;2813;2819;2400;2150;2061;2455;2455;22121;10565;21570;20950;19384;17455;17455;28093;28093;28093;28093;47402;45807;45807;10897;10897;10897;10897;15461;16506;16506;19876;19876;19876;19876;32028;31000;31000;15740;15740;15740;15740;16403;17327;17327;5206;4875;5293;4694;4839;5032;5032
casestudy.month6;4400;5979;5927;6750;9104;5558;5558;51048;60141;52891;52155;48621;48159;48159;75673;53213;77925;77412;72775;71362;71362;63304;78345;63878;67670;65942;61509;61509;2813;2819;2400;2150;2061;2455;2455;22121;10565;20263;20950;19384;17455;17455;28093;28093;28093;28093;47402;45807;45807;10897;10897;10897;10897;15461;16506;16506;19876;19876;19876;19876;32028;31000;31000;15740;15740;15740;15740;16403;17327;17327;5206;4875;5293;4694;4839;5032;5032
casestudy.month7;4400;5979;5927;6465;9104;5558;5558;51048;60141;52891;50337;48621;48159;48159;75673;53213;77925;72524;72775;71362;71362;63304;78345;63226;66471;65942;61509;61509;2813;2819;2400;2150;1901;2455;2455;22121;10565;20263;19177;19384;17455;17455;28093;28093;28093;28093;47402;45807;45807;10897;10897;10897;10897;15461;16506;16506;19876;19876;19876;19876;32028;31000;31000;15740;15740;15740;15740;16403;17327;17327;5206;4875;5293;4694;4839;5032;5032
