Units: number;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014
casestudy.fleetsegmentcode; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612
casestudy.fishingtechnique;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;PGP;PGP;PGP;PGP;PGP;PGP;PGP;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;DFN;DFN;DFN;DFN;DFN;DFN;DFN;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DFN;DFN;DFN;DFN;DFN;DFN;DFN
casestudy.loa;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL0012;VL0012;VL0012;VL0012;VL0012;VL0012;VL0012;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612
casestudy.month1;52;67;66;69;119;93;93;363;355;356;378;343;333;333;268;262;249;251;241;226;226;1911;1876;1843;1936;1816;1771;1771;13;13;13;9;11;11;11;61;58;62;60;53;50;50;804;804;804;804;795;760;760;205;205;205;205;191;190;190;215;215;215;215;212;203;203;68;68;68;68;62;56;56;54;53;55;51;51;46;46
casestudy.month2;52;67;66;69;119;93;93;363;355;356;378;343;333;333;268;262;249;251;241;226;226;1911;1876;1843;1936;1816;1771;1771;13;13;13;9;11;11;11;61;58;62;60;53;50;50;804;804;804;804;795;760;760;205;205;205;205;191;190;190;215;215;215;215;212;203;203;68;68;68;68;62;56;56;54;53;55;51;51;46;46
casestudy.month3;52;67;66;69;119;93;93;363;355;356;378;343;333;333;268;262;252;251;241;226;226;1911;1876;1843;1936;1816;1771;1771;13;13;13;9;11;11;11;61;58;62;60;53;50;50;804;804;804;804;795;760;760;205;205;205;205;191;190;190;215;215;215;215;212;203;203;68;68;68;68;62;56;56;54;53;55;51;51;46;46
casestudy.month4;52;66;66;72;119;93;93;363;354;356;366;343;333;333;268;257;252;252;241;226;226;1911;1873;1849;1869;1816;1771;1771;13;13;13;9;11;11;11;61;59;62;59;53;50;50;804;804;804;804;795;760;760;205;205;205;205;191;190;190;215;215;215;215;212;203;203;68;68;68;68;62;56;56;54;53;55;51;51;46;46
casestudy.month5;52;66;66;72;119;93;93;363;354;363;366;343;333;333;268;257;249;252;241;226;226;1911;1873;1864;1880;1816;1771;1771;13;13;10;9;11;11;11;61;59;59;59;53;50;50;804;804;804;804;795;760;760;205;205;205;205;191;190;190;215;215;215;215;212;203;203;68;68;68;68;62;56;56;54;53;55;51;51;46;46
casestudy.month6;52;66;66;72;119;93;93;363;354;363;366;343;333;333;268;257;257;256;241;226;226;1911;1873;1864;1880;1816;1771;1771;13;13;10;9;11;11;11;61;59;54;59;53;50;50;804;804;804;804;795;760;760;205;205;205;205;191;190;190;215;215;215;215;212;203;203;68;68;68;68;62;56;56;54;53;55;51;51;46;46
casestudy.month7;52;66;66;68;119;93;93;363;354;363;353;343;333;333;268;257;257;241;241;226;226;1911;1873;1859;1845;1816;1771;1771;13;13;10;9;11;11;11;61;59;54;54;53;50;50;804;804;804;804;795;760;760;205;205;205;205;191;190;190;215;215;215;215;212;203;203;68;68;68;68;62;56;56;54;53;55;51;51;46;46
