Units: seadays;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014
casestudy.fleetsegmentcode; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612
casestudy.fishingtechnique;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;PGP;PGP;PGP;PGP;PGP;PGP;PGP;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;DFN;DFN;DFN;DFN;DFN;DFN;DFN;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DFN;DFN;DFN;DFN;DFN;DFN;DFN
casestudy.loa;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL0012;VL0012;VL0012;VL0012;VL0012;VL0012;VL0012;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612
casestudy.month1;11;7;7;9;6;4;4;13;9;10;13;9;9;9;13;11;12;13;11;12;12;6;6;7;8;6;6;6;16;11;12;13;11;15;15;20;13;13;13;13;14;14;8;8;8;8;8;7;7;5;5;5;5;4;4;4;5;5;5;5;5;5;5;10;10;10;10;10;11;11;13;13;15;15;14;15;15
casestudy.month2;9;9;5;8;5;4;4;11;11;9;8;7;7;7;13;12;11;13;11;10;10;6;6;6;7;5;4;4;13;11;9;8;8;12;12;14;16;14;13;13;11;11;8;8;8;8;8;7;7;5;5;5;5;4;4;4;5;5;5;5;5;5;5;10;10;10;10;10;11;11;13;13;15;15;14;15;15
casestudy.month3;6;11;8;9;6;3;3;11;13;9;11;8;8;8;13;15;12;14;13;11;11;7;12;10;9;10;5;5;13;16;15;12;14;12;12;13;17;14;14;17;13;13;8;8;8;8;8;7;7;5;5;5;5;4;4;4;5;5;5;5;5;5;5;10;10;10;10;10;11;11;13;13;15;15;14;15;15
casestudy.month4;13;10;11;9;8;6;6;13;11;13;11;10;9;9;14;12;13;13;14;11;11;10;14;12;13;12;9;9;17;14;13;11;16;15;15;15;13;13;12;15;12;12;8;8;8;8;8;7;7;5;5;5;5;4;4;4;5;5;5;5;5;5;5;10;10;10;10;10;11;11;13;13;15;15;14;15;15
casestudy.month5;14;13;10;11;11;5;5;12;14;13;14;12;10;10;13;13;13;15;15;13;13;10;15;12;13;13;9;9;16;18;14;13;17;16;16;14;16;14;14;16;13;13;8;8;8;8;8;7;7;5;5;5;5;4;4;4;5;5;5;5;5;5;5;10;10;10;10;10;11;11;13;13;15;15;14;15;15
casestudy.month6;9;14;8;9;10;7;7;7;14;9;12;11;11;11;6;14;14;14;13;12;12;8;15;11;13;12;8;8;7;16;15;13;16;16;16;7;16;15;13;12;12;12;8;8;8;8;8;7;7;5;5;5;5;4;4;4;5;5;5;5;5;5;5;10;10;10;10;10;11;11;13;13;15;15;14;15;15
casestudy.month7;12;13;8;7;7;7;7;12;14;11;10;7;10;10;14;15;12;13;12;14;14;12;15;11;11;13;9;9;11;15;7;6;6;11;11;13;15;12;11;8;8;8;8;8;8;8;8;7;7;5;5;5;5;4;4;4;5;5;5;5;5;5;5;10;10;10;10;10;11;11;13;13;15;15;14;15;15
