Class;Lower Age;Mean Age;Lower Length;Mean Length;Lower Weight;Mean Weight;Maturity ratio
1;0;0.386;0.208;7.784;0;7.563;0.000414167
2;1;1.303;19.022;23.924;46.723;105.341;0.1232333
3;2;2.4;34.426;39.673;303.631;488.025;0.9233959
4;3;3.438;47.038;51.73;812.894;1109.518;1
+;4;5.587;57.363;68.601;1520.39;2865.868;1
upper bound;1.00E+12;---;104;---;9935.93;---;
Catch in Numbers;;;;;;;
Class;Total catch;Catch of gear 1;Catch of gear 2;;;;
1;17277431.66;0;17277431.66;;;;
2;23576553.84;80970.36;23495583.48;;;;
3;1104597.55;232085.73;872511.82;;;;
4;194701.68;89225.65;105476.03;;;;
+;160981.94;110091.23;50890.71;;;;
Total;42314266.66;512372.98;41801893.69;;;;
Mean Age;0.984;3.092;0.958;;;;
Mean Length;18.043;45.5;17.707
Catch in Weight;;;
Class;Total catch;Catch of gear 1;Catch of gear 2
1;130661880.4;0;130661880.4
2;2483585718;8529526.49;2475056192
3;539071335.7;113263663.9;425807671.9
4;216025030.3;98997467.74;117027562.6
+;461352932;315506897.3;145846034.7
Total;3830696896;536297555.4;3294399341
Percentage;100;14;86
VPA Results--Numbers;;;
Class;Initial number;Mean number;
1;129479194.2;69501181.76;
2;31719394.05;11222280.64;
3;2307254.28;1325882.82;
4;672303.6;472555.08;
+;316933.2;503068.57;;
Total;---;83024968.87;;
Stock Mean Age;---;0.591;;
Stock Mean Length;---;11.094;;
VPA Results--Weight;;;;
Class;Initial Weight;Mean Weight;;
1;3915.51;525607930.7;;
2;1482025789;1182170054;;
3;700553204.6;647064105.3;;
4;546511354.5;524308406;;
+;481862789.5;1441727912;;
Total;---;4320878408;;
SSB;---;2709433067;;
VPA Results--Mortalities;;;;
Class;Z;Total F;F of gear 1;F of gear 2
1;1.407;0.249;0;0.249
2;2.621;2.101;0.007;2.094
3;1.233;0.833;0.175;0.658
4;0.752;0.412;0.189;0.223
+;0.63;0.32;0.219;0.101
Mean Mort. rates;0.63;0.32;0.219;0.101
Global Fs;---;0.51;0.006;0.503
---;Critical age;Critical length;;
Current stock;1;19.022;;
Virgin stock;3;47.038;;
Total Biomass balance (D): 5938105461.08;;;;
---;Biomass;Percentage;;
Recruitment;3915.51;0;;
Growth;5938101546;100;;
Natural death;2107408565;35.49;;
Fishing;3830696896;64.51;;
R/B(mean);0;;;
D/B(mean);137.43;;;;;
B(max)/B(mean);34.3;;;;;
B(max)/D;24.96;;;;;
Slope at origin;Virgin biomass;Method;Num_points;Resolution;Max factor of effort;
556.1125;1.79E+11;Calc. Mean wt.;200;0;2;
___;Factor;Y/R;B/R;SSB;Y/R Gear 1Y/R Gear 2;
F(0);0;0;1381.036;1339.336;0;0
Max Gear1;0.23;51.94;512.306;482.137;22.468;29.472
F(0.1);0.24;52.759;470.328;440.985;22.395;30.364
Max(:);0.3;53.581;381.076;353.666;21.643;31.938
Max Gear2;0.42;51.243;234.437;210.998;18.124;33.119
phi=1;1.01;29.585;33.371;20.926;4.142;25.443
phi=2;2;16.466;7.348;1.029;0.292;16.174
Slope at origin;Virgin biomass;Method;Num_points;Resolution;Max factor of effort;
556.1125;1.79E+11;Calc. Mean wt.;200;0.01;2;
point;Factor;Y/R;B/R;SSB;Y/R Gear 1;Y/R Gear 2
0;0;0;1381.036;1339.336;0;0
1;0.01;5.333;1317.36;1276.3;2.73;2.603
2;0.02;10.231;1256.888;1216.455;5.202;5.029
3;0.03;14.726;1199.446;1159.626;7.436;7.29
4;0.04;18.845;1144.867;1105.65;9.449;9.396
5;0.05;22.616;1092.999;1054.372;11.258;11.357
6;0.06;26.063;1043.695;1005.648;12.88;13.183
7;0.07;29.209;996.819;959.339;14.328;14.881
8;0.08;32.076;952.241;915.317;15.617;16.459
9;0.09;34.684;909.84;873.462;16.758;17.926
10;0.1;37.051;869.5;833.657;17.763;19.288
11;0.11;39.195;831.114;795.796;18.643;20.552
12;0.12;41.132;794.58;759.776;19.409;21.723
13;0.13;42.877;759.8;725.501;20.068;22.809
14;0.14;44.443;726.685;692.881;20.63;23.813
15;0.15;45.844;695.148;661.83;21.103;24.741
16;0.16;47.091;665.108;632.266;21.494;25.598
17;0.17;48.197;636.489;604.114;21.81;26.388
18;0.18;49.171;609.219;577.302;22.057;27.115
19;0.19;50.024;583.228;551.761;22.241;27.783
20;0.2;50.764;558.452;527.427;22.367;28.397
21;0.21;51.4;534.831;504.238;22.442;28.958
22;0.22;51.94;512.306;482.137;22.468;29.472
23;0.23;52.391;490.822;461.07;22.451;29.939
24;0.24;52.759;470.328;440.985;22.395;30.364
25;0.25;53.052;450.775;421.833;22.303;30.749
26;0.26;53.276;432.116;403.568;22.179;31.097
27;0.27;53.435;414.307;386.145;22.025;31.41
28;0.28;53.535;397.307;369.524;21.846;31.689
29;0.29;53.581;381.076;353.666;21.643;31.938
