"Tuning;"	hke	in	GSA	18		
101						
Medits						
2007	2014					
1	1	0.5	0.75			
0	5					
1	416.5082011	104.052233	6.889867171	2.078701123	0.625825946	0.750540145
1	918.916669	150.5430191	5.11675124	1.933039898	0.368174238	0.161876649
1	564.3374659	199.781047	14.27208841	2.029022301	1.00603441	0.356706507
1	479.9818367	109.0291036	6.550327705	2.564896002	0.841260665	0.58364892
1	319.1534427	87.36021592	4.329959139	1.67671404	0.966123596	0.118022958
1	1344.648989	89.72105508	5.244203986	1.080349492	0.606307464	0.344996505
1	444.6038292	98.26199351	10.55192429	1.495973649	0.689895774	0.576155293
1	430.502665	63.255739	10.655590	2.702621	0.939808	0.235667


