"Tuning;"	nep	in	GSA	18			
101							
Medits							
2007	2014						
1	1	0.5	0.75				
1	7						
1	3.249366175	7.286230066	4.428685252	2.977659157	1.838566135	1.866757929	3.50916001
1	4.817065966	13.20212005	18.44278198	11.74151241	7.893558367	5.258757578	10.54402079
1	28.80248711	45.77293829	23.5614436	10.57436432	4.075607441	1.855470337	1.225188808
1	11.89214233	27.38261809	20.95329252	9.130119752	2.127587672	1.239056928	0.5111259
1	5.277255592	19.61067395	14.81133984	5.173575558	1.822575469	0.530129027	0.129470939
1	2.06494493	6.1705275	7.563490201	4.198371328	1.254761379	0.720337584	0.084169996
1	1.726577872	4.750811914	7.626347736	4.831259625	2.280533798	0.305776394	0.117466925
1	3.101175243	8.388774222	8.178996301	3.866612837	1.805782374	0.533542128	0.9056528
