age_month;M
0;3
1;2.5
2;1.44
3;1.44
4;1.44
5;1.44
6;1.44
7;1.44
8;1.44
9;1.44
10;1.44
11;1.44
12;1.44
13;0.755
14;0.755
15;0.755
16;0.755
17;0.755
18;0.755
19;0.755
20;0.755
21;0.755
22;0.755
23;0.755
24;0.755
25;0.57
26;0.57
27;0.57
28;0.57
29;0.57
30;0.57
31;0.57
32;0.57
33;0.57
34;0.57
35;0.57
36;0.57
37;0.48
38;0.48
39;0.48
40;0.48
41;0.48
42;0.48
43;0.48
44;0.48
45;0.48
46;0.48
47;0.48
48;0.48
49;0.44
50;0.44
51;0.44
52;0.44
53;0.44
54;0.44
55;0.44
56;0.44
57;0.44
58;0.44
59;0.44
60;0.44
61;0.44
62;0.44
63;0.44
64;0.44
65;0.44
66;0.44
67;0.44
68;0.44
69;0.44
70;0.44
71;0.44
72;0.44
