year;seed;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
2006;147652;147652;147652;147652;147652;147652;147652;147652;147652;147652;147652;147652;147652
2007;;154584;154584;154584;154584;154584;154584;154584;154584;154584;154584;154584;154584
2008;;132084;132084;132084;132084;132084;132084;132084;132084;132084;132084;132084;132084
2009;;169168;169168;169168;169168;169168;169168;169168;169168;169168;169168;169168;169168
2010;;178828;178828;178828;178828;178828;178828;178828;178828;178828;178828;178828;178828
2011;;232897;232897;232897;232897;232897;232897;232897;232897;232897;232897;232897;232897
2012;;256776;256776;256776;256776;256776;256776;256776;256776;256776;256776;256776;256776
2013;;262913;262913;262913;262913;262913;262913;262913;262913;262913;262913;262913;262913
2014;;249628;249628;249628;249628;249628;249628;249628;249628;249628;249628;249628;249628
2015;;635833;635833;635833;635833;635833;635833;635833;635833;635833;635833;635833;635833
2016;;184343;184343;184343;184343;184343;184343;184343;184343;184343;184343;184343;184343
2017;;308145;308145;308145;308145;308145;308145;308145;308145;308145;308145;308145;308145
2018;;308145;308145;308145;308145;308145;308145;308145;308145;308145;308145;308145;308145
