year;seed;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;sex
2006;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;M
2007;;1.38;1.38;1.38;1.38;1.38;1.38;1.38;1.38;1.38;1.38;1.38;1.38;M
2008;;1.12;1.12;1.12;1.12;1.12;1.12;1.12;1.12;1.12;1.12;1.12;1.12;M
2009;;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;M
2010;;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;M
2011;;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;M
2012;;0.92;0.92;0.92;0.92;0.92;0.92;0.92;0.92;0.92;0.92;0.92;0.92;M
2013;;1;1;1;1;1;1;1;1;1;1;1;1;M
2014;;1.04;1.04;1.04;1.04;1.04;1.04;1.04;1.04;1.04;1.04;1.04;1.04;M
2015;;1;1;1;1;1;1;1;1;1;1;1;1;M
2016;;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;M
2017;;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;M
2018;;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;M
2006;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;F
2007;;1.38;1.38;1.38;1.38;1.38;1.38;1.38;1.38;1.38;1.38;1.38;1.38;F
2008;;1.12;1.12;1.12;1.12;1.12;1.12;1.12;1.12;1.12;1.12;1.12;1.12;F
2009;;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.06;F
2010;;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;F
2011;;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;F
2012;;0.92;0.92;0.92;0.92;0.92;0.92;0.92;0.92;0.92;0.92;0.92;0.92;F
2013;;1;1;1;1;1;1;1;1;1;1;1;1;F
2014;;1.04;1.04;1.04;1.04;1.04;1.04;1.04;1.04;1.04;1.04;1.04;1.04;F
2015;;1;1;1;1;1;1;1;1;1;1;1;1;F
2016;;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;F
2017;;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;F
2018;;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;F
