year;month;DISCARD;fleet_segment
;seed;135000;DTS_VL1218
2006;Jan;1125;DTS_VL1218
2006;Feb;1125;DTS_VL1218
2006;Mar;1125;DTS_VL1218
2006;Apr;1125;DTS_VL1218
2006;May;1125;DTS_VL1218
2006;Jun;1125;DTS_VL1218
2006;Jul;1125;DTS_VL1218
2006;Aug;1125;DTS_VL1218
2006;Set;1125;DTS_VL1218
2006;Oct;1125;DTS_VL1218
2006;Nov;1125;DTS_VL1218
2006;Dec;1125;DTS_VL1218
2007;Jan;3333.333333;DTS_VL1218
2007;Feb;3333.333333;DTS_VL1218
2007;Mar;3333.333333;DTS_VL1218
2007;Apr;3333.333333;DTS_VL1218
2007;May;3333.333333;DTS_VL1218
2007;Jun;3333.333333;DTS_VL1218
2007;Jul;3333.333333;DTS_VL1218
2007;Aug;3333.333333;DTS_VL1218
2007;Set;3333.333333;DTS_VL1218
2007;Oct;3333.333333;DTS_VL1218
2007;Nov;3333.333333;DTS_VL1218
2007;Dec;3333.333333;DTS_VL1218
2008;Jan;3212.556622;DTS_VL1218
2008;Feb;3212.556622;DTS_VL1218
2008;Mar;3212.556622;DTS_VL1218
2008;Apr;3212.556622;DTS_VL1218
2008;May;3212.556622;DTS_VL1218
2008;Jun;3212.556622;DTS_VL1218
2008;Jul;3212.556622;DTS_VL1218
2008;Aug;3212.556622;DTS_VL1218
2008;Set;3212.556622;DTS_VL1218
2008;Oct;3212.556622;DTS_VL1218
2008;Nov;3212.556622;DTS_VL1218
2008;Dec;3212.556622;DTS_VL1218
2009;Jan;4754.484608;DTS_VL1218
2009;Feb;4754.484608;DTS_VL1218
2009;Mar;4754.484608;DTS_VL1218
2009;Apr;4754.484608;DTS_VL1218
2009;May;4754.484608;DTS_VL1218
2009;Jun;4754.484608;DTS_VL1218
2009;Jul;4754.484608;DTS_VL1218
2009;Aug;4754.484608;DTS_VL1218
2009;Set;4754.484608;DTS_VL1218
2009;Oct;4754.484608;DTS_VL1218
2009;Nov;4754.484608;DTS_VL1218
