year;month;L50;L75_L25;discard;fleet_segment
;seed;120;5;Y;DTS_VL1218
2006;Jan;120;5;Y;DTS_VL1218
2006;Feb;120;5;Y;DTS_VL1218
2006;Mar;120;5;Y;DTS_VL1218
2006;Apr;120;5;Y;DTS_VL1218
2006;May;120;5;Y;DTS_VL1218
2006;Jun;120;5;Y;DTS_VL1218
2006;Jul;120;5;Y;DTS_VL1218
2006;Aug;120;5;Y;DTS_VL1218
2006;Set;120;5;Y;DTS_VL1218
2006;Oct;120;5;Y;DTS_VL1218
2006;Nov;120;5;Y;DTS_VL1218
2006;Dec;120;5;Y;DTS_VL1218
2007;Jan;140;5;Y;DTS_VL1218
2007;Feb;140;5;Y;DTS_VL1218
2007;Mar;140;5;Y;DTS_VL1218
2007;Apr;140;5;Y;DTS_VL1218
2007;May;140;5;Y;DTS_VL1218
2007;Jun;140;5;Y;DTS_VL1218
2007;Jul;140;5;Y;DTS_VL1218
2007;Aug;140;5;Y;DTS_VL1218
2007;Set;140;5;Y;DTS_VL1218
2007;Oct;140;5;Y;DTS_VL1218
2007;Nov;140;5;Y;DTS_VL1218
2007;Dec;140;5;Y;DTS_VL1218
2008;Jan;140;5;Y;DTS_VL1218
2008;Feb;140;5;Y;DTS_VL1218
2008;Mar;140;5;Y;DTS_VL1218
2008;Apr;140;5;Y;DTS_VL1218
2008;May;140;5;Y;DTS_VL1218
2008;Jun;140;5;Y;DTS_VL1218
2008;Jul;140;5;Y;DTS_VL1218
2008;Aug;140;5;Y;DTS_VL1218
2008;Set;140;5;Y;DTS_VL1218
2008;Oct;140;5;Y;DTS_VL1218
2008;Nov;140;5;Y;DTS_VL1218
2008;Dec;140;5;Y;DTS_VL1218
2009;Jan;160;5;Y;DTS_VL1218
2009;Feb;160;5;Y;DTS_VL1218
2009;Mar;160;5;Y;DTS_VL1218
2009;Apr;160;5;Y;DTS_VL1218
2009;May;160;5;Y;DTS_VL1218
2009;Jun;160;5;Y;DTS_VL1218
2009;Jul;160;5;Y;DTS_VL1218
2009;Aug;160;5;Y;DTS_VL1218
2009;Set;160;5;Y;DTS_VL1218
2009;Oct;160;5;Y;DTS_VL1218
2009;Nov;160;5;Y;DTS_VL1218
2009;Dec;160;5;Y;DTS_VL1218
2010;Jan;160;5;Y;DTS_VL1218
2010;Feb;160;5;Y;DTS_VL1218
2010;Mar;160;5;Y;DTS_VL1218
2010;Apr;160;5;Y;DTS_VL1218
2010;May;160;5;Y;DTS_VL1218
2010;Jun;160;5;Y;DTS_VL1218
2010;Jul;160;5;Y;DTS_VL1218
2010;Aug;160;5;Y;DTS_VL1218
2010;Set;160;5;Y;DTS_VL1218
2010;Oct;160;5;Y;DTS_VL1218
2010;Nov;160;5;Y;DTS_VL1218
2010;Dec;160;5;Y;DTS_VL1218
2011;Jan;150;5;Y;DTS_VL1218
2011;Feb;150;5;Y;DTS_VL1218
2011;Mar;150;5;Y;DTS_VL1218
2011;Apr;150;5;Y;DTS_VL1218
2011;May;150;5;Y;DTS_VL1218
2011;Jun;150;5;Y;DTS_VL1218
2011;Jul;150;5;Y;DTS_VL1218
2011;Aug;150;5;Y;DTS_VL1218
2011;Set;150;5;Y;DTS_VL1218
2011;Oct;150;5;Y;DTS_VL1218
2011;Nov;150;5;Y;DTS_VL1218
2011;Dec;150;5;Y;DTS_VL1218
2012;Jan;200;5;Y;DTS_VL1218
2012;Feb;200;5;Y;DTS_VL1218
2012;Mar;200;5;Y;DTS_VL1218
2012;Apr;200;5;Y;DTS_VL1218
2012;May;200;5;Y;DTS_VL1218
2012;Jun;200;5;Y;DTS_VL1218
2012;Jul;200;5;Y;DTS_VL1218
2012;Aug;200;5;Y;DTS_VL1218
2012;Set;200;5;Y;DTS_VL1218
2012;Oct;200;5;Y;DTS_VL1218
2012;Nov;200;5;Y;DTS_VL1218
2012;Dec;200;5;Y;DTS_VL1218
2013;Jan;160;5;Y;DTS_VL1218
2013;Feb;160;5;Y;DTS_VL1218
2013;Mar;160;5;Y;DTS_VL1218
2013;Apr;160;5;Y;DTS_VL1218
2013;May;160;5;Y;DTS_VL1218
2013;Jun;160;5;Y;DTS_VL1218
2013;Jul;160;5;Y;DTS_VL1218
2013;Aug;160;5;Y;DTS_VL1218
2013;Set;160;5;Y;DTS_VL1218
2013;Oct;160;5;Y;DTS_VL1218
2013;Nov;160;5;Y;DTS_VL1218
2013;Dec;160;5;Y;DTS_VL1218
2014;Jan;160;5;Y;DTS_VL1218
2014;Feb;160;5;Y;DTS_VL1218
2014;Mar;160;5;Y;DTS_VL1218
2014;Apr;160;5;Y;DTS_VL1218
2014;May;160;5;Y;DTS_VL1218
2014;Jun;160;5;Y;DTS_VL1218
2014;Jul;160;5;Y;DTS_VL1218
2014;Aug;160;5;Y;DTS_VL1218
2014;Set;160;5;Y;DTS_VL1218
2014;Oct;160;5;Y;DTS_VL1218
2014;Nov;160;5;Y;DTS_VL1218
2014;Dec;160;5;Y;DTS_VL1218
2015;Jan;180;5;Y;DTS_VL1218
2015;Feb;180;5;Y;DTS_VL1218
