year;month;param1;param2;param3;param4;param5;sel_type;fleet_segment
;seed;80;7;400;-1;-1;2;DTS_VL1218
2006;Jan;80;7;400;-1;-1;2;DTS_VL1218
2006;Feb;80;7;400;-1;-1;2;DTS_VL1218
2006;Mar;80;7;400;-1;-1;2;DTS_VL1218
2006;Apr;80;7;400;-1;-1;2;DTS_VL1218
2006;May;80;7;400;-1;-1;2;DTS_VL1218
2006;Jun;80;7;400;-1;-1;2;DTS_VL1218
2006;Jul;80;7;400;-1;-1;2;DTS_VL1218
2006;Aug;80;7;400;-1;-1;2;DTS_VL1218
2006;Set;80;7;400;-1;-1;2;DTS_VL1218
2006;Oct;80;7;400;-1;-1;2;DTS_VL1218
2006;Nov;80;7;400;-1;-1;2;DTS_VL1218
2006;Dec;80;7;400;-1;-1;2;DTS_VL1218
2007;Jan;80;7;400;-1;-1;2;DTS_VL1218
2007;Feb;80;7;400;-1;-1;2;DTS_VL1218
2007;Mar;80;7;400;-1;-1;2;DTS_VL1218
2007;Apr;80;7;400;-1;-1;2;DTS_VL1218
2007;May;80;7;400;-1;-1;2;DTS_VL1218
2007;Jun;80;7;400;-1;-1;2;DTS_VL1218
2007;Jul;80;7;400;-1;-1;2;DTS_VL1218
2007;Aug;80;7;400;-1;-1;2;DTS_VL1218
2007;Set;80;7;400;-1;-1;2;DTS_VL1218
2007;Oct;80;7;400;-1;-1;2;DTS_VL1218
2007;Nov;80;7;400;-1;-1;2;DTS_VL1218
2007;Dec;80;7;400;-1;-1;2;DTS_VL1218
2008;Jan;80;7;400;-1;-1;2;DTS_VL1218
2008;Feb;80;7;400;-1;-1;2;DTS_VL1218
2008;Mar;80;7;400;-1;-1;2;DTS_VL1218
2008;Apr;80;7;400;-1;-1;2;DTS_VL1218
2008;May;80;7;400;-1;-1;2;DTS_VL1218
2008;Jun;80;7;400;-1;-1;2;DTS_VL1218
2008;Jul;80;7;400;-1;-1;2;DTS_VL1218
2008;Aug;80;7;400;-1;-1;2;DTS_VL1218
2008;Set;80;7;400;-1;-1;2;DTS_VL1218
2008;Oct;80;7;400;-1;-1;2;DTS_VL1218
2008;Nov;80;7;400;-1;-1;2;DTS_VL1218
2008;Dec;80;7;400;-1;-1;2;DTS_VL1218
2009;Jan;70;7;400;-1;-1;2;DTS_VL1218
2009;Feb;70;7;400;-1;-1;2;DTS_VL1218
2009;Mar;70;7;400;-1;-1;2;DTS_VL1218
2009;Apr;70;7;400;-1;-1;2;DTS_VL1218
2009;May;70;7;400;-1;-1;2;DTS_VL1218
2009;Jun;70;7;400;-1;-1;2;DTS_VL1218
2009;Jul;70;7;400;-1;-1;2;DTS_VL1218
2009;Aug;70;7;400;-1;-1;2;DTS_VL1218
2009;Set;70;7;400;-1;-1;2;DTS_VL1218
2009;Oct;70;7;400;-1;-1;2;DTS_VL1218
2009;Nov;70;7;400;-1;-1;2;DTS_VL1218
2009;Dec;70;7;400;-1;-1;2;DTS_VL1218
