year;seed;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;sex
2006;0.95;1.093761;1.093761;1.093761;1.093761;1.093761;1.093761;1.093761;1.093761;1.093761;1.093761;1.093761;1.093761;M
2007;;1.061531;1.061531;1.061531;1.061531;1.061531;1.061531;1.061531;1.061531;1.061531;1.061531;1.061531;1.061531;M
2008;;1.013325;1.013325;1.013325;1.013325;1.013325;1.013325;1.013325;1.013325;1.013325;1.013325;1.013325;1.013325;M
2009;;0.874988;0.874988;0.874988;0.874988;0.874988;0.874988;0.874988;0.874988;0.874988;0.874988;0.874988;0.874988;M
2010;;0.916066;0.916066;0.916066;0.916066;0.916066;0.916066;0.916066;0.916066;0.916066;0.916066;0.916066;0.916066;M
2011;;1.068036;1.068036;1.068036;1.068036;1.068036;1.068036;1.068036;1.068036;1.068036;1.068036;1.068036;1.068036;M
2012;;1.005166;1.005166;1.005166;1.005166;1.005166;1.005166;1.005166;1.005166;1.005166;1.005166;1.005166;1.005166;M
2013;;0.935601;0.935601;0.935601;0.935601;0.935601;0.935601;0.935601;0.935601;0.935601;0.935601;0.935601;0.935601;M
2014;;0.886724;0.886724;0.886724;0.886724;0.886724;0.886724;0.886724;0.886724;0.886724;0.886724;0.886724;0.886724;M
2015;;0.8226;0.8226;0.8226;0.8226;0.8226;0.8226;0.8226;0.8226;0.8226;0.8226;0.8226;0.8226;M
2016;;1.034146;1.034146;1.034146;1.034146;1.034146;1.034146;1.034146;1.034146;1.034146;1.034146;1.034146;1.034146;M
2017;;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;M
2018;;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;M
2006;0.95;1.093761;1.093761;1.093761;1.093761;1.093761;1.093761;1.093761;1.093761;1.093761;1.093761;1.093761;1.093761;F
2007;;1.061531;1.061531;1.061531;1.061531;1.061531;1.061531;1.061531;1.061531;1.061531;1.061531;1.061531;1.061531;F
2008;;1.013325;1.013325;1.013325;1.013325;1.013325;1.013325;1.013325;1.013325;1.013325;1.013325;1.013325;1.013325;F
2009;;0.874988;0.874988;0.874988;0.874988;0.874988;0.874988;0.874988;0.874988;0.874988;0.874988;0.874988;0.874988;F
2010;;0.916066;0.916066;0.916066;0.916066;0.916066;0.916066;0.916066;0.916066;0.916066;0.916066;0.916066;0.916066;F
2011;;1.068036;1.068036;1.068036;1.068036;1.068036;1.068036;1.068036;1.068036;1.068036;1.068036;1.068036;1.068036;F
2012;;1.005166;1.005166;1.005166;1.005166;1.005166;1.005166;1.005166;1.005166;1.005166;1.005166;1.005166;1.005166;F
2013;;0.935601;0.935601;0.935601;0.935601;0.935601;0.935601;0.935601;0.935601;0.935601;0.935601;0.935601;0.935601;F
2014;;0.886724;0.886724;0.886724;0.886724;0.886724;0.886724;0.886724;0.886724;0.886724;0.886724;0.886724;0.886724;F
2015;;0.8226;0.8226;0.8226;0.8226;0.8226;0.8226;0.8226;0.8226;0.8226;0.8226;0.8226;0.8226;F
2016;;1.034146;1.034146;1.034146;1.034146;1.034146;1.034146;1.034146;1.034146;1.034146;1.034146;1.034146;1.034146;F
2017;;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;F
2018;;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;0.910303771;F
