year;month;DISCARD;fleet_segment
;seed;3250;DTS_VL1218
2006;Jan;162.5;DTS_VL1218
2006;Feb;162.5;DTS_VL1218
2006;Mar;162.5;DTS_VL1218
2006;Apr;162.5;DTS_VL1218
2006;May;162.5;DTS_VL1218
2006;Jun;162.5;DTS_VL1218
2006;Jul;162.5;DTS_VL1218
2006;Aug;162.5;DTS_VL1218
2006;Sep;162.5;DTS_VL1218
2006;Oct;162.5;DTS_VL1218
2006;Nov;162.5;DTS_VL1218
2006;Dec;162.5;DTS_VL1218
2007;Jan;195.8333333;DTS_VL1218
2007;Feb;195.8333333;DTS_VL1218
2007;Mar;195.8333333;DTS_VL1218
2007;Apr;195.8333333;DTS_VL1218
2007;May;195.8333333;DTS_VL1218
2007;Jun;195.8333333;DTS_VL1218
2007;Jul;195.8333333;DTS_VL1218
2007;Aug;195.8333333;DTS_VL1218
2007;Sep;195.8333333;DTS_VL1218
2007;Oct;195.8333333;DTS_VL1218
2007;Nov;195.8333333;DTS_VL1218
2007;Dec;195.8333333;DTS_VL1218
2008;Jan;167.3480213;DTS_VL1218
2008;Feb;167.3480213;DTS_VL1218
2008;Mar;167.3480213;DTS_VL1218
2008;Apr;167.3480213;DTS_VL1218
2008;May;167.3480213;DTS_VL1218
2008;Jun;167.3480213;DTS_VL1218
2008;Jul;167.3480213;DTS_VL1218
2008;Aug;167.3480213;DTS_VL1218
2008;Sep;167.3480213;DTS_VL1218
2008;Oct;167.3480213;DTS_VL1218
2008;Nov;167.3480213;DTS_VL1218
2008;Dec;167.3480213;DTS_VL1218
2009;Jan;345.2950011;DTS_VL1218
2009;Feb;345.2950011;DTS_VL1218
2009;Mar;345.2950011;DTS_VL1218
2009;Apr;345.2950011;DTS_VL1218
2009;May;345.2950011;DTS_VL1218
2009;Jun;345.2950011;DTS_VL1218
2009;Jul;345.2950011;DTS_VL1218
2009;Aug;345.2950011;DTS_VL1218
2009;Sep;345.2950011;DTS_VL1218
2009;Oct;345.2950011;DTS_VL1218
2009;Nov;345.2950011;DTS_VL1218
2009;Dec;345.2950011;DTS_VL1218
2010;Jan;72.32537229;DTS_VL1218
2010;Feb;72.32537229;DTS_VL1218
2010;Mar;72.32537229;DTS_VL1218
2010;Apr;72.32537229;DTS_VL1218
2010;May;72.32537229;DTS_VL1218
2010;Jun;72.32537229;DTS_VL1218
2010;Jul;72.32537229;DTS_VL1218
2010;Aug;72.32537229;DTS_VL1218
2010;Sep;72.32537229;DTS_VL1218
2010;Oct;72.32537229;DTS_VL1218
2010;Nov;72.32537229;DTS_VL1218
2010;Dec;72.32537229;DTS_VL1218
2011;Jan;93.86202112;DTS_VL1218
2011;Feb;93.86202112;DTS_VL1218
2011;Mar;93.86202112;DTS_VL1218
2011;Apr;93.86202112;DTS_VL1218
2011;May;93.86202112;DTS_VL1218
2011;Jun;93.86202112;DTS_VL1218
2011;Jul;93.86202112;DTS_VL1218
2011;Aug;93.86202112;DTS_VL1218
2011;Sep;93.86202112;DTS_VL1218
2011;Oct;93.86202112;DTS_VL1218
2011;Nov;93.86202112;DTS_VL1218
2011;Dec;93.86202112;DTS_VL1218
2012;Jan;165.4867785;DTS_VL1218
2012;Feb;165.4867785;DTS_VL1218
2012;Mar;165.4867785;DTS_VL1218
2012;Apr;165.4867785;DTS_VL1218
2012;May;165.4867785;DTS_VL1218
2012;Jun;165.4867785;DTS_VL1218
2012;Jul;165.4867785;DTS_VL1218
2012;Aug;165.4867785;DTS_VL1218
2012;Sep;165.4867785;DTS_VL1218
2012;Oct;165.4867785;DTS_VL1218
2012;Nov;165.4867785;DTS_VL1218
2012;Dec;165.4867785;DTS_VL1218
2013;Jan;414.4194795;DTS_VL1218
2013;Feb;414.4194795;DTS_VL1218
2013;Mar;414.4194795;DTS_VL1218
2013;Apr;414.4194795;DTS_VL1218
2013;May;414.4194795;DTS_VL1218
2013;Jun;414.4194795;DTS_VL1218
2013;Jul;414.4194795;DTS_VL1218
2013;Aug;414.4194795;DTS_VL1218
2013;Sep;414.4194795;DTS_VL1218
2013;Oct;414.4194795;DTS_VL1218
2013;Nov;414.4194795;DTS_VL1218
2013;Dec;414.4194795;DTS_VL1218
2014;Jan;151.589512;DTS_VL1218
2014;Feb;151.589512;DTS_VL1218
2014;Mar;151.589512;DTS_VL1218
2014;Apr;151.589512;DTS_VL1218
2014;May;151.589512;DTS_VL1218
2014;Jun;151.589512;DTS_VL1218
2014;Jul;151.589512;DTS_VL1218
2014;Aug;151.589512;DTS_VL1218
2014;Sep;151.589512;DTS_VL1218
2014;Oct;151.589512;DTS_VL1218
2014;Nov;151.589512;DTS_VL1218
2014;Dec;151.589512;DTS_VL1218
2015;Jan;243.8319233;DTS_VL1218
2015;Feb;243.8319233;DTS_VL1218
2015;Mar;243.8319233;DTS_VL1218
2015;Apr;243.8319233;DTS_VL1218
2015;May;243.8319233;DTS_VL1218
2015;Jun;243.8319233;DTS_VL1218
2015;Jul;243.8319233;DTS_VL1218
2015;Aug;243.8319233;DTS_VL1218
2015;Sep;243.8319233;DTS_VL1218
2015;Oct;243.8319233;DTS_VL1218
2015;Nov;243.8319233;DTS_VL1218
2015;Dec;243.8319233;DTS_VL1218
2016;Jan;125;DTS_VL1218
2016;Feb;125;DTS_VL1218
2016;Mar;125;DTS_VL1218
2016;Apr;125;DTS_VL1218
2016;May;125;DTS_VL1218
2016;Jun;125;DTS_VL1218
2016;Jul;125;DTS_VL1218
2016;Aug;125;DTS_VL1218
2016;Sep;125;DTS_VL1218
2016;Oct;125;DTS_VL1218
2016;Nov;125;DTS_VL1218
2016;Dec;125;DTS_VL1218
2017;Jan;125;DTS_VL1218
2017;Feb;125;DTS_VL1218
2017;Mar;125;DTS_VL1218
2017;Apr;125;DTS_VL1218
2017;May;125;DTS_VL1218
2017;Jun;125;DTS_VL1218
2017;Jul;125;DTS_VL1218
2017;Aug;125;DTS_VL1218
2017;Sep;125;DTS_VL1218
2017;Oct;125;DTS_VL1218
2017;Nov;125;DTS_VL1218
2017;Dec;125;DTS_VL1218
2018;Jan;125;DTS_VL1218
2018;Feb;125;DTS_VL1218
2018;Mar;125;DTS_VL1218
2018;Apr;125;DTS_VL1218
2018;May;125;DTS_VL1218
2018;Jun;125;DTS_VL1218
2018;Jul;125;DTS_VL1218
2018;Aug;125;DTS_VL1218
2018;Sep;125;DTS_VL1218
2018;Oct;125;DTS_VL1218
2018;Nov;125;DTS_VL1218
2018;Dec;125;DTS_VL1218
;seed;3250;DTS_VL1824
2006;Jan;162.5;DTS_VL1824
2006;Feb;162.5;DTS_VL1824
