year;seed;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
2006;314915;314915;314915;314915;314915;314915;314915;314915;314915;314915;314915;314915;314915
2007;;326359;326359;326359;326359;326359;326359;326359;326359;326359;326359;326359;326359
2008;;233364;233364;233364;233364;233364;233364;233364;233364;233364;233364;233364;233364
2009;;199190;199190;199190;199190;199190;199190;199190;199190;199190;199190;199190;199190
2010;;189593;189593;189593;189593;189593;189593;189593;189593;189593;189593;189593;189593
2011;;237317;237317;237317;237317;237317;237317;237317;237317;237317;237317;237317;237317
2012;;312075;312075;312075;312075;312075;312075;312075;312075;312075;312075;312075;312075
2013;;313456;313456;313456;313456;313456;313456;313456;313456;313456;313456;313456;313456
2014;;223383;223383;223383;223383;223383;223383;223383;223383;223383;223383;223383;223383
2015;;278699;278699;278699;278699;278699;278699;278699;278699;278699;278699;278699;278699
2016;;363951;363951;363951;363951;363951;363951;363951;363951;363951;363951;363951;363951
2017;;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773
2018;;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773;282971.5773
