year;month;param1;param2;param3;param4;param5;sel_type;fleet_segment
;seed;23;2;15;;;6;DTS_VL1218
2006;Jan;23;4;18;;;6;DTS_VL1218
2006;Feb;23;4;18;;;6;DTS_VL1218
2006;Mar;23;4;18;;;6;DTS_VL1218
2006;Apr;23;4;18;;;6;DTS_VL1218
2006;May;23;4;18;;;6;DTS_VL1218
2006;Jun;23;4;18;;;6;DTS_VL1218
2006;Jul;23;4;18;;;6;DTS_VL1218
2006;Aug;23;4;18;;;6;DTS_VL1218
2006;Sep;23;4;18;;;6;DTS_VL1218
2006;Oct;23;4;18;;;6;DTS_VL1218
2006;Nov;23;4;18;;;6;DTS_VL1218
2006;Dec;23;4;18;;;6;DTS_VL1218
2007;Jan;23;2;18;;;6;DTS_VL1218
2007;Feb;23;2;18;;;6;DTS_VL1218
2007;Mar;23;2;18;;;6;DTS_VL1218
2007;Apr;23;2;18;;;6;DTS_VL1218
2007;May;23;2;18;;;6;DTS_VL1218
2007;Jun;23;2;18;;;6;DTS_VL1218
2007;Jul;23;2;18;;;6;DTS_VL1218
2007;Aug;23;2;18;;;6;DTS_VL1218
2007;Sep;23;2;18;;;6;DTS_VL1218
2007;Oct;23;2;18;;;6;DTS_VL1218
2007;Nov;23;2;18;;;6;DTS_VL1218
2007;Dec;23;2;18;;;6;DTS_VL1218
2008;Jan;23;2;15;;;6;DTS_VL1218
2008;Feb;23;2;15;;;6;DTS_VL1218
2008;Mar;23;2;15;;;6;DTS_VL1218
2008;Apr;23;2;15;;;6;DTS_VL1218
2008;May;23;2;15;;;6;DTS_VL1218
2008;Jun;23;2;15;;;6;DTS_VL1218
2008;Jul;23;2;15;;;6;DTS_VL1218
2008;Aug;23;2;15;;;6;DTS_VL1218
2008;Sep;23;2;15;;;6;DTS_VL1218
2008;Oct;23;2;15;;;6;DTS_VL1218
2008;Nov;23;2;15;;;6;DTS_VL1218
2008;Dec;23;2;15;;;6;DTS_VL1218
2009;Jan;23;2;15;;;6;DTS_VL1218
2009;Feb;23;2;15;;;6;DTS_VL1218
2009;Mar;23;2;15;;;6;DTS_VL1218
2009;Apr;23;2;15;;;6;DTS_VL1218
2009;May;23;2;15;;;6;DTS_VL1218
2009;Jun;23;2;15;;;6;DTS_VL1218
2009;Jul;23;2;15;;;6;DTS_VL1218
2009;Aug;23;2;15;;;6;DTS_VL1218
2009;Sep;23;2;15;;;6;DTS_VL1218
2009;Oct;23;2;15;;;6;DTS_VL1218
2009;Nov;23;2;15;;;6;DTS_VL1218
2009;Dec;23;2;15;;;6;DTS_VL1218
2010;Jan;23;2;10;;;6;DTS_VL1218
2010;Feb;23;2;10;;;6;DTS_VL1218
2010;Mar;23;2;10;;;6;DTS_VL1218
2010;Apr;23;2;10;;;6;DTS_VL1218
2010;May;23;2;10;;;6;DTS_VL1218
2010;Jun;23;2;10;;;6;DTS_VL1218
2010;Jul;23;2;10;;;6;DTS_VL1218
2010;Aug;23;2;10;;;6;DTS_VL1218
2010;Sep;23;2;10;;;6;DTS_VL1218
2010;Oct;23;2;10;;;6;DTS_VL1218
2010;Nov;23;2;10;;;6;DTS_VL1218
2010;Dec;23;2;10;;;6;DTS_VL1218
2011;Jan;23;2;10;;;6;DTS_VL1218
2011;Feb;23;2;10;;;6;DTS_VL1218
2011;Mar;23;2;10;;;6;DTS_VL1218
2011;Apr;23;2;10;;;6;DTS_VL1218
2011;May;23;2;10;;;6;DTS_VL1218
2011;Jun;23;2;10;;;6;DTS_VL1218
2011;Jul;23;2;10;;;6;DTS_VL1218
2011;Aug;23;2;10;;;6;DTS_VL1218
2011;Sep;23;2;10;;;6;DTS_VL1218
2011;Oct;23;2;10;;;6;DTS_VL1218
2011;Nov;23;2;10;;;6;DTS_VL1218
2011;Dec;23;2;10;;;6;DTS_VL1218
2012;Jan;23;2;10;;;6;DTS_VL1218
2012;Feb;23;2;10;;;6;DTS_VL1218
2012;Mar;23;2;10;;;6;DTS_VL1218
2012;Apr;23;2;10;;;6;DTS_VL1218
2012;May;23;2;10;;;6;DTS_VL1218
2012;Jun;23;2;10;;;6;DTS_VL1218
2012;Jul;23;2;10;;;6;DTS_VL1218
2012;Aug;23;2;10;;;6;DTS_VL1218
2012;Sep;23;2;10;;;6;DTS_VL1218
2012;Oct;23;2;10;;;6;DTS_VL1218
2012;Nov;23;2;10;;;6;DTS_VL1218
2012;Dec;23;2;10;;;6;DTS_VL1218
2013;Jan;23;2;10;;;6;DTS_VL1218
2013;Feb;23;2;10;;;6;DTS_VL1218
2013;Mar;23;2;10;;;6;DTS_VL1218
2013;Apr;23;2;10;;;6;DTS_VL1218
2013;May;23;2;10;;;6;DTS_VL1218
2013;Jun;23;2;10;;;6;DTS_VL1218
2013;Jul;23;2;10;;;6;DTS_VL1218
2013;Aug;23;2;10;;;6;DTS_VL1218
2013;Sep;23;2;10;;;6;DTS_VL1218
2013;Oct;23;2;10;;;6;DTS_VL1218
2013;Nov;23;2;10;;;6;DTS_VL1218
2013;Dec;23;2;10;;;6;DTS_VL1218
2014;Jan;23;2;18;;;6;DTS_VL1218
2014;Feb;23;2;18;;;6;DTS_VL1218
2014;Mar;23;2;18;;;6;DTS_VL1218
2014;Apr;23;2;18;;;6;DTS_VL1218
2014;May;23;2;18;;;6;DTS_VL1218
2014;Jun;23;2;18;;;6;DTS_VL1218
2014;Jul;23;2;18;;;6;DTS_VL1218
2014;Aug;23;2;18;;;6;DTS_VL1218
2014;Sep;23;2;18;;;6;DTS_VL1218
2014;Oct;23;2;18;;;6;DTS_VL1218
2014;Nov;23;2;18;;;6;DTS_VL1218
2014;Dec;23;2;18;;;6;DTS_VL1218
2015;Jan;23;2;10;;;6;DTS_VL1218
2015;Feb;23;2;10;;;6;DTS_VL1218
2015;Mar;23;2;10;;;6;DTS_VL1218
2015;Apr;23;2;10;;;6;DTS_VL1218
2015;May;23;2;10;;;6;DTS_VL1218
2015;Jun;23;2;10;;;6;DTS_VL1218
2015;Jul;23;2;10;;;6;DTS_VL1218
2015;Aug;23;2;10;;;6;DTS_VL1218
2015;Sep;23;2;10;;;6;DTS_VL1218
2015;Oct;23;2;10;;;6;DTS_VL1218
2015;Nov;23;2;10;;;6;DTS_VL1218
2015;Dec;23;2;10;;;6;DTS_VL1218
2016;Jan;23;2;10;;;6;DTS_VL1218
2016;Feb;23;2;10;;;6;DTS_VL1218
2016;Mar;23;2;10;;;6;DTS_VL1218
2016;Apr;23;2;10;;;6;DTS_VL1218
2016;May;23;2;10;;;6;DTS_VL1218
2016;Jun;23;2;10;;;6;DTS_VL1218
2016;Jul;23;2;10;;;6;DTS_VL1218
2016;Aug;23;2;10;;;6;DTS_VL1218
2016;Sep;23;2;10;;;6;DTS_VL1218
2016;Oct;23;2;10;;;6;DTS_VL1218
2016;Nov;23;2;10;;;6;DTS_VL1218
2016;Dec;23;2;10;;;6;DTS_VL1218
2017;Jan;23;2;10;;;6;DTS_VL1218
2017;Feb;23;2;10;;;6;DTS_VL1218
2017;Mar;23;2;10;;;6;DTS_VL1218
2017;Apr;23;2;10;;;6;DTS_VL1218
2017;May;23;2;10;;;6;DTS_VL1218
2017;Jun;23;2;10;;;6;DTS_VL1218
2017;Jul;23;2;10;;;6;DTS_VL1218
2017;Aug;23;2;10;;;6;DTS_VL1218
2017;Sep;23;2;10;;;6;DTS_VL1218
2017;Oct;23;2;10;;;6;DTS_VL1218
2017;Nov;23;2;10;;;6;DTS_VL1218
2017;Dec;23;2;10;;;6;DTS_VL1218
2018;Jan;23;2;10;;;6;DTS_VL1218
2018;Feb;23;2;10;;;6;DTS_VL1218
2018;Mar;23;2;10;;;6;DTS_VL1218
2018;Apr;23;2;10;;;6;DTS_VL1218
2018;May;23;2;10;;;6;DTS_VL1218
2018;Jun;23;2;10;;;6;DTS_VL1218
2018;Jul;23;2;10;;;6;DTS_VL1218
2018;Aug;23;2;10;;;6;DTS_VL1218
2018;Sep;23;2;10;;;6;DTS_VL1218
2018;Oct;23;2;10;;;6;DTS_VL1218
2018;Nov;23;2;10;;;6;DTS_VL1218
2018;Dec;23;2;10;;;6;DTS_VL1218
;seed;23;2;15;;;6;DTS_VL1824
2006;Jan;23;4;18;;;6;DTS_VL1824
2006;Feb;23;4;18;;;6;DTS_VL1824
2006;Mar;23;4;18;;;6;DTS_VL1824
2006;Apr;23;4;18;;;6;DTS_VL1824
2006;May;23;4;18;;;6;DTS_VL1824
2006;Jun;23;4;18;;;6;DTS_VL1824
2006;Jul;23;4;18;;;6;DTS_VL1824
2006;Aug;23;4;18;;;6;DTS_VL1824
2006;Sep;23;4;18;;;6;DTS_VL1824
2006;Oct;23;4;18;;;6;DTS_VL1824
2006;Nov;23;4;18;;;6;DTS_VL1824
2006;Dec;23;4;18;;;6;DTS_VL1824
2007;Jan;23;2;18;;;6;DTS_VL1824
2007;Feb;23;2;18;;;6;DTS_VL1824
2007;Mar;23;2;18;;;6;DTS_VL1824
2007;Apr;23;2;18;;;6;DTS_VL1824
2007;May;23;2;18;;;6;DTS_VL1824
2007;Jun;23;2;18;;;6;DTS_VL1824
2007;Jul;23;2;18;;;6;DTS_VL1824
2007;Aug;23;2;18;;;6;DTS_VL1824
2007;Sep;23;2;18;;;6;DTS_VL1824
2007;Oct;23;2;18;;;6;DTS_VL1824
2007;Nov;23;2;18;;;6;DTS_VL1824
2007;Dec;23;2;18;;;6;DTS_VL1824
2008;Jan;23;2;15;;;6;DTS_VL1824
2008;Feb;23;2;15;;;6;DTS_VL1824
2008;Mar;23;2;15;;;6;DTS_VL1824
2008;Apr;23;2;15;;;6;DTS_VL1824
2008;May;23;2;15;;;6;DTS_VL1824
2008;Jun;23;2;15;;;6;DTS_VL1824
2008;Jul;23;2;15;;;6;DTS_VL1824
2008;Aug;23;2;15;;;6;DTS_VL1824
2008;Sep;23;2;15;;;6;DTS_VL1824
2008;Oct;23;2;15;;;6;DTS_VL1824
2008;Nov;23;2;15;;;6;DTS_VL1824
2008;Dec;23;2;15;;;6;DTS_VL1824
2009;Jan;23;2;15;;;6;DTS_VL1824
2009;Feb;23;2;15;;;6;DTS_VL1824
2009;Mar;23;2;15;;;6;DTS_VL1824
2009;Apr;23;2;15;;;6;DTS_VL1824
2009;May;23;2;15;;;6;DTS_VL1824
2009;Jun;23;2;15;;;6;DTS_VL1824
2009;Jul;23;2;15;;;6;DTS_VL1824
2009;Aug;23;2;15;;;6;DTS_VL1824
2009;Sep;23;2;15;;;6;DTS_VL1824
