year;seed;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;sex
2006;3.87;3.87;3.87;3.87;3.87;3.87;3.87;3.87;3.87;3.87;3.87;3.87;3.87;M
2007;;3.77;3.77;3.77;3.77;3.77;3.77;3.77;3.77;3.77;3.77;3.77;3.77;M
2008;;3.56;3.56;3.56;3.56;3.56;3.56;3.56;3.56;3.56;3.56;3.56;3.56;M
2009;;3.23;3.23;3.23;3.23;3.23;3.23;3.23;3.23;3.23;3.23;3.23;3.23;M
2010;;3.41;3.41;3.41;3.41;3.41;3.41;3.41;3.41;3.41;3.41;3.41;3.41;M
2011;;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;M
2012;;4.34;4.34;4.34;4.34;4.34;4.34;4.34;4.34;4.34;4.34;4.34;4.34;M
2013;;3.61;3.61;3.61;3.61;3.61;3.61;3.61;3.61;3.61;3.61;3.61;3.61;M
2014;;4.19;4.19;4.19;4.19;4.19;4.19;4.19;4.19;4.19;4.19;4.19;4.19;M
2015;;5.05;5.05;5.05;5.05;5.05;5.05;5.05;5.05;5.05;5.05;5.05;5.05;M
2016;;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;M
2017;;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;M
2018;;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;M
2006;3.87;3.87;3.87;3.87;3.87;3.87;3.87;3.87;3.87;3.87;3.87;3.87;3.87;F
2007;;3.77;3.77;3.77;3.77;3.77;3.77;3.77;3.77;3.77;3.77;3.77;3.77;F
2008;;3.56;3.56;3.56;3.56;3.56;3.56;3.56;3.56;3.56;3.56;3.56;3.56;F
2009;;3.23;3.23;3.23;3.23;3.23;3.23;3.23;3.23;3.23;3.23;3.23;3.23;F
2010;;3.41;3.41;3.41;3.41;3.41;3.41;3.41;3.41;3.41;3.41;3.41;3.41;F
2011;;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;F
2012;;4.34;4.34;4.34;4.34;4.34;4.34;4.34;4.34;4.34;4.34;4.34;4.34;F
2013;;3.61;3.61;3.61;3.61;3.61;3.61;3.61;3.61;3.61;3.61;3.61;3.61;F
2014;;4.19;4.19;4.19;4.19;4.19;4.19;4.19;4.19;4.19;4.19;4.19;4.19;F
2015;;5.05;5.05;5.05;5.05;5.05;5.05;5.05;5.05;5.05;5.05;5.05;5.05;F
2016;;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;F
2017;;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;F
2018;;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;4.27;F
