Parameters;Distribution;Min;Max;A;B;;;;;;;
Scientific name;;;;;;;;;;;;
Common name;Pink shrimp;;;;;;;;;;;
GSA;;;;;;;;;;;;
start - end simulation - end forecast;;;;;;;;;;;;
Years to be presimulated;18;;;;;;;;;;;
Number of years for average;1;;;;;;;;;;;
gears;;;;;;;;;;;;
Sex ratio;;;;;;;;;;;;
L-W parameters - Male;;;;;;;;;;;;
L-W parameters - Female;;;;;;;;;;;;
Lifespan - Male;;;;;;;;;;;;
Lifespan - Female;;;;;;;;;;;;
Growth T0 - Male;3;-0.25;-0.25;;;;;;;;;
Growth T0 - Female;3;-0.2;-0.2;;;;;;;;;
Growth K - Male;3;0.68;0.68;;;;;;;;;
Growth K - Female;3;0.575;0.575;;;;;;;;;
Growth Linf - Male;3;40;40;;;;;;;;;
Growth Linf - Female;3;46;46;;;;;;;;;
Maturity Ogive L50 - Male;3;15;15;0;0;;;;;;;
Maturity Ogive L75L25 - Male;3;4;4;0;0;;;;;;;
Maturity Ogive L50 - Female;3;15;15;0;0;;;;;;;
Maturity Ogive L75L25 - Female;3;4;4;0;0;;;;;;;
Offspring R;3;409337;409337;0;0;;;;;;;
Offspring proportion;0;0;0;0.1;0.1;0.2;0.2;0.1;0.1;0.2;0;0
Recruitment file;C:\BMT_INPUT\aladym\P. lon\Recruitment.csv;;;;;;;;;;;
Recruitment calibration;FALSE;35000;45000;;;;;;;;;
Tr;2;;;;;;;;;;;
Spawners;2;1;;;;;;;;;;
Age range of F calculated - Male;;0;2;;;;;;;;;
Age range of F calculated - Female;;0;2;;;;;;;;;
M file - Male;C:\BMT_INPUT\aladym\P. lon\M.csv;;;;;;;;;;;
M file - Female;C:\BMT_INPUT\aladym\P. lon\M.csv;;;;;;;;;;;
Mortality type;Z;;;;;;;;;;;
Z file;C:\BMT_INPUT\aladym\P. lon\Z.csv;;;;;;;;;;;
F type;O;[allowed values: F, O];;;;;;;;;;
F splitting type;P;[allowed values: CAA, P];;;;;;;;;;
F file;;;;;;;;;;;;
F overall file;;C:\PUBBLICAZIONE BMT\GSA10\INPUT\aladym\P. lon\F_overall.csv;;;;;;;;;;
Catch by age for splitting file;;;;;;;;;;;;
Selectivity type;P;P;;;;;;;;;;
Selectivity file;C:\BMT_INPUT\aladym\P. lon\Selectivity.csv;;;;;;;;;;;
Selectivity file by age;;;;;;;;;;;;
Selectivity file by length;;;;;;;;;;;;
Production type;;;;;;;;;;;;
Production file;;;;;;;;;;;;
Discard file;C:\BMT_INPUT\aladym\P. lon\Discard data.csv;;;;;;;;;;;
P production file;;;;;;;;;;;;
Effort type;;;;;;;;;;;;
Effort data file;;;;;;;;;;;;
Fishing coefficient file;;;;;;;;;;;;
Effort - F relationship;L;L;;;;;;;;;;[allowed values: L, P]
Effort - F relationship a;0;0;;;;;;;;;;
Effort - F relationship b;1;1;;;;;;;;;;
Discard component;Y;Y;;;;;;;[allowed values: Y, 0, NA];;;
Discard type;RO;RO;;;;;;;;;;[allowed values: V, RO]
External Discard vector file;;;;;;;;;;;;
Reverse-ogive Discard file;C:\BMT_INPUT\aladym\P. lon\Discard reverse ogive.csv;;;;;;;;;;;
Landing obligation file;C:\BMT_INPUT\aladym\P. lon\ALADYM landing obligation_DPS.csv;;;;;;;;;;;
Survivability proportion;0.083333333;0.083333333;0.083333333;0.083333333;0.083333333;0.083333333;0.083333333;0.083333333;0.083333333;0.083333333;0.083333333;0.083333333
Discard survivability component;N;N;;;;;;;;;;[allowed values: Y, N]
Discard survivability type;NA;NA;;;;;;;;;;[allowed values: C, DOS]
Discard survivability parameters_F1;;;;;;;;;;;;[1st cell: males/param1, 2nd cell: females/param2]
Discard survivability parameters_F2;;;;;;;;;;;;[1st cell: males/param1, 2nd cell: females/param2]
Escape survivability component;N;N;;;;;;;;;;[allowed values: Y, N]
Escape survivability type;NA;NA;;;;;;;;;;[allowed values: C, DOS]
Escape survivability costant parameters_F1;;;;;;;;;;;;[1st cell: males, 2nd cell: females]
Escape survivability costant parameters_F2;;;;;;;;;;;;
Escape survivability DOS type;NA;NA;;;;;;;;;;[allowed values: O, V]
DOS Escape survivability Ogive parameters_F1;;;;;;;;;;;;
DOS Escape survivability Ogive parameters_F2;;;;;;;;;;;;
DOS External Escape survivability vector file;;;;;;;;;;;;
