Units: days;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
casestudy.fleetsegmentcode;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612
casestudy.fishingtechnique;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP
casestudy.loa;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612
casestudy.month1;8;8;8;4;7;9;1;7;13;9;10;10;10;15;15;15;9;12;19;6;12;15;7;12;12;12;4;4;4;7;3;4;2;5;3;5;3;3;3;7;7;7;4;3;6;3;6;5;5;5;5;5
casestudy.month2;12;12;12;7;7;8;7;10;11;9;10;10;10;16;16;16;11;16;15;11;11;15;6;14;14;14;7;7;7;8;5;6;5;4;3;5;6;6;6;10;10;10;6;7;6;6;5;6;6;6;6;6
casestudy.month3;10;10;10;10;10;14;13;11;13;12;13;13;13;14;14;14;15;13;15;14;12;16;9;16;16;16;6;6;6;16;8;11;8;6;9;11;11;11;11;9;9;9;10;12;11;9;6;11;11;10;10;10
casestudy.month4;13;13;13;12;14;13;9;14;14;13;13;13;13;14;14;14;16;15;12;13;15;17;10;16;16;16;7;7;7;16;9;11;7;9;9;13;14;14;14;12;12;12;13;12;10;10;11;11;12;12;12;12
casestudy.month5;14;14;14;15;10;14;14;13;14;14;16;16;16;15;15;15;16;12;8;17;15;18;9;16;16;16;9;9;9;19;8;15;12;10;9;13;14;14;14;14;14;14;16;12;14;14;9;11;13;15;15;15
casestudy.month6;12;12;12;13;13;16;15;16;14;14;15;15;15;13;13;13;17;13;10;18;14;19;10;17;17;17;12;12;12;23;12;17;15;11;13;14;15;15;15;12;12;12;17;14;15;16;12;13;12;16;16;16
casestudy.month7;20;20;20;16;15;15;17;20;15;18;15;15;15;18;18;18;17;13;8;14;19;20;10;18;18;18;17;17;17;23;15;16;15;15;12;17;17;17;17;19;19;19;18;15;13;16;15;13;14;17;17;17
casestudy.month8;15;15;15;12;15;17;16;17;13;13;16;16;16;17;17;17;16;12;11;15;18;18;10;18;18;18;13;13;13;13;15;18;15;10;10;13;14;14;14;16;16;16;12;15;16;16;11;11;11;14;14;14
casestudy.month9;3;3;3;4;1;11;4;14;8;8;7;7;7;1;1;1;4;-1;13;5;16;10;7;10;10;10;14;14;14;12;9;13;10;9;8;13;13;13;13;15;15;15;12;11;13;12;12;10;11;12;12;12
casestudy.month10;11;11;11;5;10;0;11;1;9;4;8;8;8;11;11;11;11;11;0;13;-1;9;4;8;8;8;10;10;10;5;6;9;6;7;8;11;12;12;12;13;13;13;7;9;10;11;10;10;10;10;10;10
casestudy.month11;10;10;10;10;6;11;10;5;10;12;10;10;10;14;14;14;15;9;12;16;12;16;10;14;14;14;5;5;5;8;4;9;4;4;5;7;8;8;8;5;5;5;7;5;11;8;5;6;6;9;9;9
casestudy.month12;10;10;10;8;12;9;10;14;10;16;13;13;13;14;14;14;13;11;12;13;16;15;10;14;14;14;2;2;2;5;6;8;2;6;5;7;9;9;9;4;4;4;4;6;8;5;8;7;6;9;9;9
