Units: number;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
casestudy.fleetsegmentcode;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612
casestudy.fishingtechnique;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP
casestudy.loa;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612
casestudy.month1;160;160;160;159;151;143;142;138;137;138.29;144;144;144;69;69;69;75;58;57;58;70;78;86;61;61;61;615;615;615;602;592;576;554;533;526;501;472;472;472;1320;1320;1320;1325;1357;1349;1331;1322;1321;1293;1194;1194;1194
casestudy.month2;160;160;160;159;151;143;142;138;137;138.29;144;144;144;69;69;69;75;58;57;58;70;78;86;61;61;61;615;615;615;602;592;576;554;533;526;501;472;472;472;1320;1320;1320;1325;1357;1349;1331;1322;1321;1293;1194;1194;1194
casestudy.month3;160;160;160;159;151;143;142;138;137;138.29;144;144;144;69;69;69;75;58;57;58;70;78;86;61;61;61;615;615;615;602;592;576;554;533;526;501;472;472;472;1320;1320;1320;1325;1357;1349;1331;1322;1321;1293;1194;1194;1194
casestudy.month4;160;160;160;159;151;143;142;138;137;138.29;144;144;144;69;69;69;75;58;57;58;70;78;86;61;61;61;615;615;615;602;592;576;554;533;526;501;472;472;472;1320;1320;1320;1325;1357;1349;1331;1322;1321;1293;1194;1194;1194
casestudy.month5;160;160;160;159;151;143;142;138;137;138.29;144;144;144;69;69;69;75;58;57;58;70;78;86;61;61;61;615;615;615;602;592;576;554;533;526;501;472;472;472;1320;1320;1320;1325;1357;1349;1331;1322;1321;1293;1194;1194;1194
casestudy.month6;160;160;160;159;151;143;142;138;137;138.29;144;144;144;69;69;69;75;58;57;58;70;78;86;61;61;61;615;615;615;602;592;576;554;533;526;501;472;472;472;1320;1320;1320;1325;1357;1349;1331;1322;1321;1293;1194;1194;1194
casestudy.month7;160;160;160;159;151;143;142;138;137;138.29;144;144;144;69;69;69;75;58;57;58;70;78;86;61;61;61;615;615;615;602;592;576;554;533;526;501;472;472;472;1320;1320;1320;1325;1357;1349;1331;1322;1321;1293;1194;1194;1194
casestudy.month8;160;160;160;159;151;143;142;138;137;138.29;144;144;144;69;69;69;75;58;57;58;70;78;86;61;61;61;615;615;615;602;592;576;554;533;526;501;472;472;472;1320;1320;1320;1325;1357;1349;1331;1322;1321;1293;1194;1194;1194
casestudy.month9;160;160;160;159;151;143;142;138;137;138.29;144;144;144;69;69;69;75;58;57;58;70;78;86;61;61;61;615;615;615;602;592;576;554;533;526;501;472;472;472;1320;1320;1320;1325;1357;1349;1331;1322;1321;1293;1194;1194;1194
casestudy.month10;160;160;160;159;151;143;142;138;137;138.29;144;144;144;69;69;69;75;58;57;58;70;78;86;61;61;61;615;615;615;602;592;576;554;533;526;501;472;472;472;1320;1320;1320;1325;1357;1349;1331;1322;1321;1293;1194;1194;1194
casestudy.month11;160;160;160;159;151;143;142;138;137;138.29;144;144;144;69;69;69;75;58;57;58;70;78;86;61;61;61;615;615;615;602;592;576;554;533;526;501;472;472;472;1320;1320;1320;1325;1357;1349;1331;1322;1321;1293;1194;1194;1194
casestudy.month12;160;160;160;159;151;143;142;138;137;138.29;144;144;144;69;69;69;75;58;57;58;70;78;86;61;61;61;615;615;615;602;592;576;554;533;526;501;472;472;472;1320;1320;1320;1325;1357;1349;1331;1322;1321;1293;1194;1194;1194
