Units: kg;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
casestudy.fleetsegmentcode;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612
casestudy.fishingtechnique;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP
casestudy.loa;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612
casestudy.month1;23255.75111;34063.46865;16708.46715;12101.02;7890.99;14515.88;12072.18;3427.6;21771.12;14945.95;13381.55667;14781.75378;14781.75378;14781.75378;47253.105;69203.60463;-20;24597.82;13592.91;14766.36;22917.99;7733.88;17910.87;20398.49;15347.74667;16953.37168;16953.37168;16953.37168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
casestudy.month2;33855.84979;49585.55125;24326.84225;17621.1;12200.27;15324.35;15409.68;9188.5;8650.59;23142.12;13660.40333;15089.7344;15089.7344;15089.7344;44512.86558;65190.97947;31986.12412;23170.82;11476.89;21307.32;14460.58;13436.79;12748.65;18365.08;14850.17333;16403.81178;16403.81178;16403.81178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
casestudy.month3;31959.84223;46809.16332;22964.16656;16633.74;12888.59;11458.41;17512.24;28434.78;12869.67;22978.56;21427.67;23668.52652;23668.52652;23668.52652;31904.71099;46728.43279;22924.5433;16605.03;15805.75;14164.09;14316.18;17493.93;13602.54;13475.6;14857.35667;16411.74564;16411.74564;16411.74564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
casestudy.month4;44067.97513;64539.51136;31666.37782;22939.14;24851.99;18279.23;17487.12;18388.76;21267.1;30198.57;23284.81;25719.70085;25719.70085;25719.70085;33583.36208;49186.53828;24131.00316;17479.2;16839.04;19025.35;13455.98;15169.36;15151.97;19231.16;16517.49667;18245.33737;18245.33737;18245.33737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
casestudy.month5;49328.81236;72243.13303;35447.38331;25678.76;19211.23;19832.58;23000.29;28131.27;24262.9;31712.9;28035.69;30966.95367;30966.95367;30966.95367;27349.92228;40058.70181;19650.98048;14233.09;10408.93;17738.11;10857.16;20443.53;23197.56;23936.05;22525.71333;24881.29362;24881.29362;24881.29362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
casestudy.month6;26483.79923;38790.40857;19028.49097;13782.05;19870.31;14958.27;37061.21;32600.02;37608.99;27177.65;32462.22;35855.96834;35855.96834;35855.96834;24107.37604;35310.53181;17320.53675;12544.51;13378.05;12917.32;11389.6;17242.55;26282.81;23351.9;22292.42;24623.62576;24623.62576;24623.62576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
casestudy.month7;50549.18864;74030.17125;36324.47744;26314.28;24898.08;21657.25;33575.89;32507.98;35795.54;25561.82;31288.44667;34559.55896;34559.55896;34559.55896;34782.23123;50942.08287;24992.63994;18103.52;13470.04;15065.61;8537.72;15582.31;35431.09;23822.75;24945.38333;27553.77119;27553.77119;27553.77119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
casestudy.month8;36893.38695;54033.51952;26509.94432;19202.92;29343.18;22265.14;30376.6;20565.95;32744.6;26131.63;26480.72667;29249.52748;29249.52748;29249.52748;40185.05395;58853.6187;28875.69153;20917.08;17506.54;17286.83;15659.09;23213.49;25808.31;23100.68;24040.82667;26554.70628;26554.70628;26554.70628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
casestudy.month9;10894.08365;15961.86139;7824.038588;5663.59;10511.95;2359.07;12456.94;8574.19;28991.71;12017.56;16527.82;18256.73929;18256.73929;18256.73929;4217.635284;6185.312502;3025.622129;2186.78;3487.21;210.96;15420.04;3206.49;31610.89;10368.84;15062.07333;16637.85114;16637.85114;16637.85114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
casestudy.month10;23771.30786;34818.41581;17079.00188;12369.5;7117.98;14748.29;639.43;23322.86;3396.51;15892.29;14203.88667;15690.00097;15690.00097;15690.00097;18520.36007;27129.27558;13305.10401;9635.03;11925.47;10263.82;953.94;18033.99;52.42;8970.68;9019.03;9963.429523;9963.429523;9963.429523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
casestudy.month11;26400.82394;38668.90504;18968.85597;13738.84;20010.69;12142.36;13547.75;24727.73;21129.53;19009.45;21622.23667;23883.42155;23883.42155;23883.42155;29648.67015;43424.83597;21303.10883;15430.18;14747.4;9938.93;18751.5;26903.77;19020.56;20105.67;22010;24311.69847;24311.69847;24311.69847;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
casestudy.month12;23633.7006;34616.91286;16980.10245;12297.84;17362.51;24418.65;12112.09;24230.22;28780.94;19327.55;24112.90333;26634.31352;26634.31352;26634.31352;25360.18585;37145.06354;18220.94111;13196.92;15284.26;12791.69;16638.15;19174.77;27408.54;20292.68;22291.99667;24623.1582;24623.1582;24623.1582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
