Units: kg;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
casestudy.fleetsegmentcode;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1219;DTS_VL1220;DTS_VL1221;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0007;PGP_VL0008;PGP_VL0009;PGP_VL0610;PGP_VL0611;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612
casestudy.fishingtechnique;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP
casestudy.loa;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612
casestudy.month1;5899;9761;3220;1706;3653;4469;2001;12870;23897;13612;13836;13836;13836;2397;11185;5913;9299;4489;6395;4522;11852;10652;7597;9757;9757;9757;3432;2401;513;696;64;780;31;1067;6236;630;240;240;240;4016;660;1177;997;619;362;128;-20;1498;2013;1071;1071;1071
casestudy.month2;5874;5961;4378;3392;3214;5568;5628;15495;22081;15087;12927;12927;12927;2307;7878;7960;6475;2284;4537;3780;10663;8863;7289;4711;4711;4711;5015;799;116;66;-20;470;400;1365;3831;682;277;277;277;1523;351;161;243;801;1305;578;-20;232;392;1783;1783;1783
casestudy.month3;9730;9447;3970;1538;6652;6451;5119;8961;15318;18061;11560;11560;11560;2842;8392;4424;6472;3423;5047;5999;13257;7599;6027;6183;6183;6183;3854;3273;446;1648;337;343;-20;162;2479;1292;351;351;351;706;1673;427;965;3585;1484;1304;2543;3130;749;748;748;748
casestudy.month4;5634;8044;3762;3561;6888;3058;4875;5967;17691;21296;14406;14406;14406;4072;7897;4534;7622;4044;4497;4585;13558;7465;8426;4624;4624;4624;1916;4721;1812;4762;2617;290;60;-20;1448;1434;478;478;478;-20;4394;2001;2574;2181;1692;2210;7103;2385;2772;801;801;801
casestudy.month5;7748;11096;6480;5537;7354;6173;6587;3574;14080;21084;16388;16388;16388;4131;6946;5479;1743;2245;2312;5661;11532;7821;4160;6037;6037;6037;3464;18602;4645;24824;2428;1547;2443;1837;1158;1145;177;177;177;10301;24090;15342;16210;3140;3955;8741;12892;1134;186;22;22;22
casestudy.month6;12870;7996;3070;2085;8811;8725;4751;5279;11881;11355;17500;17500;17500;4134;6873;3501;2258;2159;4226;6923;11879;9953;5249;6450;6450;6450;14290;24454;16715;5081;850;1122;2439;4823;2239;541;149;149;149;15439;19898;10841;4973;3098;4029;7007;13819;337;632;222;222;222
