FS;country_name;country_code;year;supra_reg;fishing_tech;vessel_length;geo_indicator;cluster_name;fs_name;variable_group;variable_name;variable_code;value;unit;fromtable;framework;template_name;gear;fishery
;Spain;ESP;2016;AREA37;HOK;VL2440;NGI;MBSHOKVL1824LLD;ESP MBS HOK1824 LLD*;Capacity;Number of vessels;totves;2;number;map_fs;map;map_capacity;NA;NA
ESP_HOK_VL0624;Spain;ESP;2014;AREA37;HOK;VL0612;NGI;NA;ESP MBS HOK0612 NGI*;Capacity;Number of vessels;totves;55;number;map_fs;map;map_capacity;NA;NA
ESP_HOK_VL0624;Spain;ESP;2015;AREA37;HOK;VL0612;NGI;NA;ESP MBS HOK0612 NGI*;Capacity;Number of vessels;totves;42;number;map_fs;map;map_capacity;NA;NA
ESP_HOK_VL0624;Spain;ESP;2016;AREA37;HOK;VL0612;NGI;NA;ESP MBS HOK0612 NGI*;Capacity;Number of vessels;totves;52;number;map_fs;map;map_capacity;NA;NA
;Spain;ESP;2011;AREA37;DRB;VL0006;NGI;AREA37DRBVL0612;ESP MBS DRB0612 NGI*;Capacity;Number of vessels;totves;4;number;map_fs;map;map_capacity;NA;NA
;Spain;ESP;2014;AREA37;PMP;VL0006;NGI;NA;ESP MBS PMP0006 NGI;Capacity;Number of vessels;totves;118;number;map_fs;map;map_capacity;NA;NA
;Spain;ESP;2008;AREA37;PS;VL0612;NGI;NA;ESP MBS PS 0612 NGI;Capacity;Number of vessels;totves;25;number;map_fs;map;map_capacity;NA;NA
ESP_DTS_VL0612;Spain;ESP;2008;AREA37;DTS;VL0612;NGI;NA;ESP MBS DTS0612 NGI;Capacity;Number of vessels;totves;28;number;map_fs;map;map_capacity;NA;NA
ESP_HOK_VL0624;Spain;ESP;2008;AREA37;HOK;VL1218;NGI;NA;ESP MBS HOK1218 NGI;Capacity;Number of vessels;totves;83;number;map_fs;map;map_capacity;NA;NA
;Spain;ESP;2008;AREA37;PS;VL1824;NGI;NA;ESP MBS PS 1824 NGI;Capacity;Number of vessels;totves;101;number;map_fs;map;map_capacity;NA;NA
ESP_DTS_VL1218;Spain;ESP;2008;AREA37;DTS;VL1218;NGI;NA;ESP MBS DTS1218 NGI;Capacity;Number of vessels;totves;198;number;map_fs;map;map_capacity;NA;NA
;Spain;ESP;2008;AREA37;PMP;VL0006;NGI;NA;ESP MBS PMP0006 NGI;Capacity;Number of vessels;totves;246;number;map_fs;map;map_capacity;NA;NA
ESP_DTS_VL1824;Spain;ESP;2008;AREA37;DTS;VL1824;NGI;NA;ESP MBS DTS1824 NGI;Capacity;Number of vessels;totves;480;number;map_fs;map;map_capacity;NA;NA
;Spain;ESP;2008;AREA37;PMP;VL0612;NGI;NA;ESP MBS PMP0612 NGI;Capacity;Number of vessels;totves;1356;number;map_fs;map;map_capacity;NA;NA
;Spain;ESP;2008;AREA37;HOK;VL0006;NGI;AREA37HOKVL0612;ESP MBS HOK0612 NGI*;Capacity;Number of vessels;totves;4;number;map_fs;map;map_capacity;NA;NA
ESP_HOK_VL0624;Spain;ESP;2008;AREA37;HOK;VL0612;NGI;AREA37HOKVL0612;ESP MBS HOK0612 NGI*;Capacity;Number of vessels;totves;93;number;map_fs;map;map_capacity;NA;NA
