FS;Year;Month;Days;Unit;Source
GSA6_DTS_VL0612;2015;0;1467;days*vess;FDI
GSA6_DTS_VL0612;2016;0;1953;days*vess;FDI
GSA6_DTS_VL0612;2017;0;1217;days*vess;FDI
GSA6_DTS_VL0612;2018;0;1330.75;days*vess;FDI
GSA6_DTS_VL0612;2019;0;1087.756;days*vess;FDI
GSA6_DTS_VL1218;2015;0;10372;days*vess;FDI
GSA6_DTS_VL1218;2016;0;11713;days*vess;FDI
GSA6_DTS_VL1218;2017;0;10007;days*vess;FDI
GSA6_DTS_VL1218;2018;0;17293.375;days*vess;FDI
GSA6_DTS_VL1218;2019;0;17279.975;days*vess;FDI
GSA6_DTS_VL1824;2015;0;21023;days*vess;FDI
GSA6_DTS_VL1824;2016;0;21558;days*vess;FDI
GSA6_DTS_VL1824;2017;0;18063;days*vess;FDI
GSA6_DTS_VL1824;2018;0;39026.047;days*vess;FDI
GSA6_DTS_VL1824;2019;0;38059.644;days*vess;FDI
GSA6_DTS_VL2440;2015;0;15614;days*vess;FDI
GSA6_DTS_VL2440;2016;0;13877;days*vess;FDI
GSA6_DTS_VL2440;2017;0;11911;days*vess;FDI
GSA6_DTS_VL2440;2018;0;19381.916;days*vess;FDI
GSA6_DTS_VL2440;2019;0;18962.027;days*vess;FDI
GSA6_HOK_VL0624;2015;0;2616;days*vess;FDI
GSA6_HOK_VL0624;2016;0;5108;days*vess;FDI
GSA6_HOK_VL0624;2017;0;3638;days*vess;FDI
GSA6_HOK_VL0624;2018;0;5139.33;days*vess;FDI
GSA6_HOK_VL0624;2019;0;4342.93;days*vess;FDI
GSA6_PGP_VL0018;2015;0;5000;days*vess;ASSESSMENT HKE
GSA6_PGP_VL0018;2016;0;5000;days*vess;ASSESSMENT HKE
GSA6_PGP_VL0018;2017;0;5000;days*vess;ASSESSMENT HKE
GSA6_PGP_VL0018;2018;0;5000;days*vess;ASSESSMENT HKE
GSA6_PGP_VL0018;2019;0;4387;days*vess;ASSESSMENT HKE
