FS;country code;country name;year;quarter;vessel length;fishing technique;gear type;target assemblage;mesh size range;metier;supra-region;sub-region;EEZ indicator;geo indicator;Nephrops sub-region;specon tech;deep;species;total live weight landed (tonnes);total value of landings (euro);total discards (tonnes);confidential
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLL;0.004;105.98;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLL;0.007;138.7;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLL;0.008;297.35;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLU;0.036;108.6;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BSS;0.002;32.31;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BSS;0.007;164.83;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BSS;0.037;624.01;NK;N
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;CIL;0.002;11.35;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;CIL;0.012;104.69;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;CIL;0.083;682.22;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;CLV;0.006;19.73;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;CLV;0.017;45.56;NK;N
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;CLV;0.005;14.63;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;CLV;0.006;25.92;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;COB;0.005;5;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;COC;0.016;33.1;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;COC;0.034;99.97;NK;N
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;COC;0.042;213.75;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;COE;0.006;19;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;CTC;0.178;1290.25;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;CTC;0.012;163.26;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;CTC;0.024;194.16;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;DEC;0.009;21.26;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;DXL;3.048;36749.49;NK;N
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;DXL;1.051;12690.37;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;DXL;6.7;66475.8;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;DXL;1.821;14336.01;NK;N
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ELE;0;30;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;EQI;0.001;5.16;NK;N
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;FIN;0.001;1.31;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;FIN;0.006;16.45;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;FIN;0.017;55.68;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;FNT;0.343;2170.72;NK;N
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;FNT;0.006;71.93;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;FNT;0.526;2222.98;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;FNT;0.041;203.97;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;GCJ;0.058;287.57;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;GUX;0.01;32.68;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;HKE;0.002;7.2;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;IOD;0.023;65.04;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;IOD;0.018;71.1;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;IOD;0.022;63.65;NK;N
