FS;Year;Month;GT;Unit;Source;;;;;;
Abruzzo_DRB;2013;1;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2013;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2013;12;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2013;4;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2014;1;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2015;7;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2015;8;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2017;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2017;11;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2017;2;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2018;2;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2005;0;7659;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2006;0;6049;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2007;0;5650;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2008;0;5528;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2009;0;5524;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2010;0;6145;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2011;0;6017;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2012;0;6095;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2013;0;6082;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2014;0;5622;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2015;0;5649;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2016;0;5595;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2017;0;6204;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2018;0;6347;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_PGP;2005;0;408;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_PGP;2006;0;404;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_PGP;2008;0;426;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_PGP;2009;0;426;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_PGP;2010;0;417;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_PGP;2011;0;413;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_PGP;2012;0;408;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_PGP;2013;0;396;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_PGP;2014;0;409;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_PGP;2015;0;418;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_PGP;2016;0;392;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_PGP;2017;0;396;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
