Year_Age;0;1;2;3;4;5
2006;0.585172;1.41577;1.65196;1.69639;2.15257;0.443383
2007;0.577599;1.40949;1.64464;1.68887;2.14303;0.441418
2008;0.492913;1.44221;1.68281;1.72807;2.19277;0.451663
2009;0.347598;1.53059;1.78593;1.83397;2.32715;0.479342
2010;0.214235;1.66576;1.94366;1.99594;2.53268;0.521676
2011;0.132646;1.8068;2.10823;2.16493;2.74711;0.565844
2012;0.096097;1.89217;2.20784;2.26722;2.87692;0.592581
2013;0.088331;1.87928;2.1928;2.25177;2.85731;0.588543
2014;0.0988;1.78176;2.07901;2.13492;2.70904;0.558002
2015;0.115662;1.65974;1.93664;1.98872;2.52352;0.51979
2016;0.117783;1.57576;1.83864;1.88809;2.39583;0.493488
2017;0.092257;1.56432;1.8253;1.87439;2.37844;0.489907
2018;0.055669;1.6271;1.89855;1.94961;2.4739;0.509568
2019;0.028962;1.73877;2.02885;2.08341;2.64367;0.544539
