FS;Year;Month;KW;Unit;Source;;;;;;
Abruzzo_DRB;2013;1;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2013;10;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2013;12;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2013;4;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2014;1;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2015;7;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2015;8;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2017;10;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2017;11;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2017;2;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DRB;2018;2;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2005;0;29646.33;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2006;0;23766.07;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2007;0;21490.7;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2008;0;20614.8;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2009;0;20580.49;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2010;0;22932.3;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2011;0;22491.46;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Abruzzo_DTS;2012;0;23340.23;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
