FS;Year;Month;Land;Unit;Source
Abruzzo_DRB;2013;1;0.00762;tons;File MBL2 SOL.xlsx
Abruzzo_DRB;2013;4;0.00707;tons;File MBL2 SOL.xlsx
Abruzzo_DRB;2013;10;0.00359;tons;File MBL2 SOL.xlsx
Abruzzo_DRB;2013;12;0.05204;tons;File MBL2 SOL.xlsx
Abruzzo_DRB;2014;1;0.00689;tons;File MBL2 SOL.xlsx
Abruzzo_DRB;2015;7;0.00538;tons;File MBL2 SOL.xlsx
Abruzzo_DRB;2015;8;0.00763;tons;File MBL2 SOL.xlsx
Abruzzo_DRB;2017;2;0.028;tons;File MBL2 SOL.xlsx
Abruzzo_DRB;2017;10;0.036;tons;File MBL2 SOL.xlsx
Abruzzo_DRB;2017;11;0.048;tons;File MBL2 SOL.xlsx
Abruzzo_DRB;2018;2;0.0025;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2005;1;1.02542;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2005;2;1.03532;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2005;3;1.59583;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2005;4;1.11621;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2005;5;2.03441;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2005;6;2.81168;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2005;7;3.23162;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2005;8;2.47894;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2005;9;1.056;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2005;10;2.97866;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2005;11;2.96236;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2005;12;4.23417;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2006;1;3.60271;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2006;2;3.64351;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2006;3;2.63467;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2006;4;4.06539;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2006;5;8.08207;tons;File MBL2 SOL.xlsx
