Year_Age;0;1;2;3
2006;0.124057;1.95861;3.01361;0.65815
2007;0.115879;1.8295;2.81495;0.614764
2008;0.096945;1.53057;2.35501;0.514316
2009;0.080272;1.26734;1.94999;0.425863
2010;0.016405;1.17972;2.19921;1.30013
2011;0.015617;1.12306;2.09358;1.23768
2012;0.014646;1.05323;1.96341;1.16073
2013;0.013927;1.0015;1.86698;1.10372
2014;0.014767;1.06194;1.97963;1.17032
2015;0.017297;1.24385;2.31876;1.37081
2016;0.019408;1.39565;2.60174;1.5381
2017;0.018717;1.34596;2.5091;1.48333
2018;0.016031;1.15279;2.149;1.27045
2019;0.013266;0.953978;1.77838;1.05134
